公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
达观数据,python开发工程师,10k-15k·14薪,人工智能 B轮 150-500人,经验3-5年 本科,“六险一金 年假多多 AI项目 专业培训”,Python ,[高新区]
郑州创恒实业有限公司,Python开发工程师,6k-10k,移动互联网 未融资 150-500人,经验3-5年 本科,"“周末双休,年底双薪,全勤奖,外出旅游”",教育 移动互联网 后端 Python 数据库 docker ,[金水区]
大河网,Python,5k-10k,文娱丨内容 不需要融资 150-500人,经验3-5年 本科,“五险 双休”,节日礼物 年底双薪 专项奖金 带薪年假 ,[中原区]
崤云安全,高级python开发工程师,10k-14k,信息安全 不需要融资 50-150人,经验3-5年 大专,“六险一金、提供食宿、年底双薪”,Python ,[高新区]
郑州创恒实业有限公司,高级Python开发工程师,7k-10k,移动互联网 未融资 150-500人,经验1-3年 本科,“高级”,云计算 MySQL Python 云计算 爬虫 ,[金水区]
控客机器人,python编程指导老师,4k-7k,"教育,人工智能 未融资 50-150人",经验不限 本科,“钱多活少休息足”,教育 ,[金水区]
优品课教育,python计算机方向暑假工,3k-4k,"教育,软件开发 未融资 少于15人",经验不限 本科,“美好的前程。欢迎加入！”,,[管城回族区]
恒品科技,风控系统开发工程师（python）,10K-20K,其他 不需要融资 50-150人,经验3-5年 本科,“福利待遇优渥，工作开心幸福，领导nice”,数据挖掘 数据分析 ,[郑东新区]
恒品科技,大数据开发工程师（python）,10K-20K,其他 不需要融资 50-150人,经验3-5年 本科,“待遇优渥，工作开心幸福，领导nice”,数据挖掘 数据分析 ,[郑东新区]
威尔视觉,WebRTC开发工程师,20k-40k·13薪,"移动互联网,文娱丨内容 天使轮 50-150人",经验5-10年 本科,“不打卡 周末双休 13薪 大牛带队 五险一金”,视频 直播 C++ 云计算 音视频 视频编解码 ,[中原区]
云霁科技,运维实施工程师,8k-15k,企业服务 B轮 50-150人,经验1-3年 本科,“年终绩效”,Python 爬虫 ,[祭城]
捷之捷,大数据开发工程师,8k-14k,移动互联网 不需要融资 15-50人,经验5-10年 本科,“五险一金、双休、项目奖金”,大数据 SQLServer 数据架构 Java Python ,[二七区]
修齐治平,运维工程师,5k-10k·15薪,教育 未融资 2000人以上,经验1-3年 大专,“入职缴纳五险一金 团队年轻有活力”,Linux Shell DBA ,[管城回族区]
达观数据,算法工程师,15k-20k·14薪,人工智能 B轮 150-500人,经验3-5年 硕士,“六险一金 年假多多 AI项目 专业培训”,自然语言处理 ,[高新区]
锅圈供应链,服务器安全工程师,6k-12k,不限 C轮 500-2000人,经验5-10年 本科,“社保，商业险，绩效奖金”,信息安全 ,[高新区]
崤云安全,高级dba,8k-16k,信息安全 不需要融资 50-150人,经验3-5年 大专,“六险一金、提供食宿、年底双薪、免费茶饮”,移动互联网 信息安全 数据库 MySQL Oracle SQLServer ,[高新区]
安徽省刀锋网络科技有限公司,高级商业分析师（双休+五险一金+丰厚福利）,15k-20k,"移动互联网,游戏 B轮 500-2000人",经验3-5年 本科,“公司发展前景好，团队实力强”,大数据 ,[中原区]
安徽省刀锋网络科技有限公司,高级数据分析师（五险一金+双休+丰厚福利）,10k-15k,"移动互联网,游戏 B轮 500-2000人",经验3-5年 本科,“公司发展前景好，团队实力强”,大数据 Python ,[中原区]
DataFountain,技术总监（AI在线教育）,30k-50k,移动互联网 B轮 15-50人,经验10年以上 本科,“数据大咖、轻松氛围、活动多多”,云计算 教育 高级技术管理 业务流程管理 目标管理 领导力 ,[郑东新区]
北京瑞天欣实数据科技有限公司,数据分析师,5k-8k·13薪,数据服务 A轮 50-150人,经验1-3年 本科,“发展前景好、六险一金、带薪年假、年终体检”,数据分析 ,[金水区]
阿帕斯数云,应用运维工程师,12k-20k·13薪,"数据服务,软件开发 未融资 150-500人",经验5-10年 本科,“五险一金、双休、年底双薪、经常有技术分享”,Linux Python 应用运维 TCP/IP协议 ,[郑东新区]
澳丰通讯,产品经理,10k-15k,"广告营销,数据服务 未融资 500-2000人",经验5-10年 本科,“公司重点项目，待遇丰厚”,大数据 广告营销 需求分析 交互设计 产品设计 B端产品 ,[淮河路]
大河网,产品测试,5k-9k,文娱丨内容 不需要融资 150-500人,经验1-3年 本科,"“双休,五险,带薪年假,扁平化管理”",测试 脚本 ,[中原区]
UU跑腿,数据挖掘工程师,8k-15k,"移动互联网,消费生活 B轮 500-2000人",经验3-5年 大专,“五险一金、带薪年假、节日福利、”,Java 数据挖掘 ,[金水区]
