民宿标题,价格,地利,评论数,得分,适合居住人数
北部湾一号设计师的海景公寓180度看海,250,近北部湾一号,1051,4.8,2
听海 5分钟到银滩景区 北欧无遮挡海景房,413,近银滩旅游度假区,521,4.9,4
居山海北海银滩网红别墅（山野）双床房免费接送码头+接动车站 含双早,467,近海泰别墅区,39,5.0,2
【海恋】  银滩西绝美海景三居 /躺着看海，下楼踏浪赶海拾贝/近侨港,420,None,15,5.0,6
听风吟民宿~舒适标准间~300米近银滩,180,近银滩旅游度假区,17,4.8,2
【观海】银滩/码头/侨港高层海景真实房源,370,近银滩旅游度假区,540,5.0,4
银滩摩登海景（一个热爱民宿的四川女孩）～真实房源多套,631,近海泰别墅区,431,4.9,4
西西别院 浪漫温馨标准间(连住两晚包接送,238,近北岸区,154,5.0,2
悠家  六分钟到银滩景区海景房   北欧风两室二厅  真实房源多套,409,近银滩旅游度假区,569,5.0,4
【海王】看着看大海/海景3房/离海200米/海滩免费赶海挖螺拾贝/近侨港,420,None,22,5.0,7
【真实房源】消毒银滩270°海景两房/近侨港风情街/涠洲岛码头/万达商圈 同栋多套可月租,314,近银滩度假区,407,5.0,4
豪华270度地中海大床房,236,近北部湾一号,458,4.9,2
【暖阳】海景洋房3居/步行5分钟到海边/免费赶海挖螺拾贝,1200,近银滩度假区,65,4.9,7
【糖糖海景公寓】一居室海景房/银滩/冠头岭/流下村/婚纱摄影写真/旅拍圣地/赶海/免费停车,229,None,379,5.0,2
寻迷/近银滩 码头 侨港风情街 影院级投影 海景情侣大床房,314,None,106,5.0,2
【海恋】  银滩西绝美海景三居 /躺着看海，下楼踏浪赶海拾贝/近侨港,420,None,15,5.0,6
大客厅落地窗 高层海景大三卧 近银滩码头 侨港风情 厨房免费使用,604,None,11,4.8,6
听海 5分钟到银滩景区 北欧无遮挡海景房,413,近银滩旅游度假区,521,4.9,4
银滩摩登海景（一个热爱民宿的四川女孩）～真实房源多套,631,近海泰别墅区,431,4.9,4
涠洲岛［喜临.美宿］北欧简约榻榻米大床！临海99米，步行两分钟，入住两天包接码头到店，三天包接送码头,248,None,14,4.9,2
【海街Diary】北海老街+100寸投影,257,近外沙,183,4.9,2
【海王】看着看大海/海景3房/离海200米/海滩免费赶海挖螺拾贝/近侨港,420,None,22,5.0,7
银滩、侨港、码头海景套房270℃超大阳台（连住3天免费接站）,340,近海泰别墅区,1317,5.0,5
涠洲岛「日式阳台亲子双床间」～近石螺口海滩＋码头包接(入住包接，两天包接送),304,None,214,5.0,3
【暖阳】海景洋房3居/步行5分钟到海边/免费赶海挖螺拾贝,1200,近银滩度假区,65,4.9,7
万达对面近银滩地中海风格可做饭干净有吊篮,226,近万达,646,5.0,2
豪华270度地中海大床房,236,近北部湾一号,458,4.9,2
涠洲岛.临海超美热带花园.泳池度假别墅大床房.贝壳沙滩店，海鲜市场旁,365,近客运码头,39,5.0,2
踏浪欢欢海,299,None,12,5.0,5
"近银滩近侨港看海高层海景两居多套（连住三天免费接高铁，连住5天免费接机）提供付费接机服务
",310,None,78,5.0,4
【海恋】  银滩西绝美海景三居 /躺着看海，下楼踏浪赶海拾贝/近侨港,420,None,15,5.0,6
北部湾一号可做饭180度网红豪华海景两房,294,近北部湾一号,14,4.9,4
涠洲岛石螺口沙滩（地中海双床房）一天包接两天包送,476,近滴水丹屏,1111,5.0,2
银滩摩登海景（一个热爱民宿的四川女孩）～真实房源多套,631,近海泰别墅区,431,4.9,4
近银滩 码头⛵️海景一居室(同栋多套),235,None,80,5.0,2
『恭喜①』真实图片 泳池 超大阳台 全海景 高档小区 超市菜场便利 近银滩 侨港 万,398,近银滩度假区,469,5.0,4
【海王】看着看大海/海景3房/离海200米/海滩免费赶海挖螺拾贝/近侨港,420,None,22,5.0,7
五分钟到银滩，超大阳台高层海景房两居多套【赶海/人38元】可做饭,369,近海泰别墅区,42,5.0,4
听风吟民宿~温馨亲子间~300米近银滩,166,近银滩旅游度假区,14,4.9,3
【暖阳】海景洋房3居/步行5分钟到海边/免费赶海挖螺拾贝,1200,近银滩度假区,65,4.9,7
真实图片落地大阳台 两房海景民宿 ins风近涠洲码头 银滩 侨港风情街 海景 免费淘气堡 泳池,384,None,90,4.9,4
小巷民宿 有电驴租HS 可寄存行李 有赶海工具 有花园 可看日落 吹风 周边有美食街 离景点近,213,近主城区,45,5.0,2
涠洲岛.临海超美热带花园.泳池度假别墅大床房.贝壳沙滩店，海鲜市场旁,365,近客运码头,39,5.0,2
近银滩、海鲜市场，千帆超干净多套海景房,329,近银滩旅游度假区,658,5.0,4
『落脚点』北海银滩/侨港风情街/涠洲岛,169,近银滩度假区,13,4.9,2
【海恋】  银滩西绝美海景三居 /躺着看海，下楼踏浪赶海拾贝/近侨港,420,None,15,5.0,6
【沐易杨】北欧三室/麻将机/厨房可做饭/游泳池/近银滩/万达/侨港/可停车,350,None,26,4.9,6
近海/3分钟到银滩/侨港码头/大床户型 / 有厨房/有电动车租,242,None,335,5.0,2
银滩摩登海景（一个热爱民宿的四川女孩）～真实房源多套,631,近海泰别墅区,431,4.9,4
超大海景/巨幕/近银滩/桥港/情侣大床房,314,None,59,5.0,2
唯美双床房（侨港小吃街 码头 免费停车）,127,近银滩度假区,444,4.9,2
【海王】看着看大海/海景3房/离海200米/海滩免费赶海挖螺拾贝/近侨港,420,None,22,5.0,7
在银滩/步行5分钟到海边/梦海大床房(使用厨房免费，包米饭调料/可预约带去赶海）,150,近海泰别墅区,110,4.8,2
网红180°天幕海景套房  楼下即银滩,598,近银滩度假区,176,4.9,5
【红桃A】近银滩/侨港/涠洲岛客运码头/多套房源，两室家庭房,360,None,229,5.0,4
贝壳沙滩100米亲子房含电动车（包接送）,261,近客运码头,7,5.0,3
在银滩/步行5分钟到海边/梦海双床亲子房(使用厨房免费.包米饭调料/可预约带去赶海）,150,近海泰别墅区,113,4.8,3
近银滩～邻万达～涠洲岛码头北欧精品大两房（可做饭、可停车）,234,None,8,4.8,4
豪华270度逸居全海景双床房,270,近北部湾一号,115,4.8,4
漫宿/近银滩/侨港/码头/270海景豪华情侣房,314,None,131,4.9,2
【乐海居】三室两厅一卫/海景/泳池/麻将/近万达/侨港风情街/菜市场，免开火费！免费赶海！,368,近银滩度假区,35,4.9,6
涠涠之约海景民宿 海景大床房,346,None,172,4.9,2
涠洲岛｜海栖民宿•海景双床房（近海滩）,239,近南湾区,57,5.0,2
涠洲岛•日出海滩•双人间【离海边30米】连住2晚包接码头,302,近南湾区,25,5.0,2
去码头（去涠洲的码头）6分钟，离银滩标志性建筑“潮雕”100米，家庭亲子双床房,188,近银滩旅游度假区,11,4.9,3
【潮】银滩高层海景～一个四川女孩的民宿～多套,685,None,42,5.0,6
180度海景.距离侨港2分钟码头600米,238,近银滩度假区,52,4.9,2
涠洲岛【成都】有一间标准间包接连住包送,304,近南湾区,676,4.9,2
高铁站老街广场LOFT复式公寓,220,近主城区,111,5.0,2
涠洲岛何姐家农家乐涠洲岛南湾旅游休闲区三人间,200,近南湾区,39,4.9,3
【秋幕ins风·全海景·大阳台二居】多套,268,近北部湾广场,28,5.0,4
北海银滩森海豪庭海景公寓一居室,184,近银滩度假区,206,4.9,2
万达商圈/近银滩/现代小资房,187,近万达,33,4.8,3
复式楼临万达近银滩侨港码头带泳池免费做饭,161,近银滩度假区,69,5.0,2
180度海景（可住2-4人）距离侨港2分,339,近银滩度假区,61,5.0,4
银滩阳光里高层海景标房，近景区银滩！,202,近银滩旅游度假区,93,4.6,2
"《实图""真实房源》侨港风情街客 码头180°落地窗观海景",292,近银滩度假区,19,4.8,4
北海涠洲岛日出近海五彩滩湖景小阳台标间,322,近南湾区,173,5.0,2
居山海北海银滩网红别墅（蜜月）大床房免费接送码头+接动车站 含双早,467,近海泰别墅区,25,5.0,2
【来日可期·INS风全海景·大二居】多套,470,近北部湾广场,11,4.9,4
网红打卡/慢慢/银滩阳光里/高层观景/距银滩300米/近侨港/万达商圈,240,None,6,5.0,3
舟洲美舍双人间包接送靠蓝桥暮涯近海边 已消毒,166,近客运码头,3086,5.0,2
近银滩/侨港风情街/码头无遮挡海景2居室3床真实房源多套,487,近银滩旅游度假区,556,5.0,4
近银滩·日式海景一居室 (同栋多套可月租),314,近银滩度假区,327,5.0,2
涠洲岛日落海滩双人房（代订船票）,268,近南湾区,68,5.0,2
涠洲岛｜【海栖•民宿】•近石螺口海滩•「标准三床房」,251,近南湾区,29,5.0,3
上善若水あ银滩/码头/简约海景两居/多套,276,近高铁站,138,5.0,4
近银滩•北欧风•高层海景一居室(可月租)同栋多套,393,None,71,5.0,2
涠洲岛西西别院 大床房(连住两晚包接送),255,近北岸区,61,4.9,2
灰白海景大床房/临近银滩/涠洲岛码头/桥港风情街/巨屏投影,314,None,19,5.0,2
豪华花园标间（含双早）,210,近南湾区,4,5.0,2
