民宿标题,价格,地利,评论数,得分,适合居住人数
万般皆是缘  众里寻栖宿  复试房屋,403,None,18,5.0,3
【蔓悦邻】梦巴黎loft•环球影城主题乐园 京东总部 小米总部 亦庄台湖 次渠地铁 万科城市之光,454,None,17,4.9,4
七姑娘民宿-栗山小筑.整院.慕田峪长城.红螺寺.雁栖湖.山景.聚会.亲子.暖气.火锅.烧烤,1406,None,82,5.0,5
二环内标间公寓-步行【天安门看升旗前门故宫天坛大栅栏】可住4人,758,None,25,4.9,4
北京怡然酒店劲松/潘家园地区复式大床房A,360,近劲松地铁站,11,4.8,2
｢梧桐·宿夏｣ 网红滑梯海洋球房.含早餐.爬山玩水.慕田峪长城.红螺寺.雁栖湖,499,None,14,5.0,3
古北水镇稀缺高层180度长城日出景观房观星空山景日出日落（入退免费接送）,294,None,407,5.0,2
【蔓悦邻】粉黛•Loft复式亦庄京东李宁总部同仁医院次渠地铁环球影城网红首都机场故宫国贸,454,None,11,4.9,4
七姑娘民宿-白白鸽.整院.慕田峪长城.红螺寺.团建ktv.亲子.聚会.地暖.火锅.烧烤,2536,None,60,4.9,12
山舍•轻奢半山临景景观房观长城大床房(24h热水)(无线)(入退免费接送),255,None,109,4.9,2
Wohkoon者行孙青年旅舍(北京建国门店)三里屯/工体/东直门地区单人间(公共卫浴),200,近建国门地铁站,232,4.5,1
七姑娘民宿-读白.整院.慕田峪长城.红螺寺.雁西湖.团建.聚会.亲子.暖气.烧烤.火锅,1913,None,31,5.0,10
立水桥地铁五/十三号线奥森鸟巢整一居,302,近立水桥南地铁站,11,4.8,4
北京自由筑-土桥自由筑温馨开间,297,近土桥地铁站,142,4.7,2
蒲里日记·处暑 【核桃大床房】温泉·烧烤·星空投屏电影·和服体验·玉渡山景区·野鸭湖·夏日避暑圣地,670,None,7,5.0,2
北京丰台优选酒店永定门/南站/大红门/南苑地区舒适大床房（无窗）,289,None,11,4.7,2
北京瑞·悦酒店总部基地/丰台体育中心/南宫地区商务家庭间,333,近纪家庙地铁站,9,4.8,3
七姑娘民宿-栗山小筑.整院.慕田峪长城.红螺寺.雁栖湖.山景.聚会.亲子.暖气.火锅.烧烤,1406,None,82,5.0,5
近天安门，故宫，王府井四合院天窗大床浴缸房,699,None,8,5.0,2
古北水镇～稀缺山景两室一厅，带私家小花园+休闲麻将机+烧烤+免费接送办理入住,395,None,37,5.0,6
39 7号线地铁高楼金站30米  环球影城直线100米,261,None,31,5.0,2
传媒大学/国贸/百子湾/小清新一居室公寓,373,近传媒大学地铁站,245,4.9,2
古北水镇最火【北欧梦•斑马有爱】全景（日出日落长城夜景）高端观景房（入退免接送）,238,None,45,5.0,2
【布丁精选】布丁精选酒店(北京国贸永安里地铁站店)北京站/建国门地区静享大床房(无窗),357,近永安里地铁站,110,4.5,2
近五棵松301武警总医院阳面四人间,359,None,5,4.2,4
二环内-天安门前门故宫天坛大栅栏-步行看升旗-精品LOFT双卫-地铁3分钟,1480,None,4,5.0,8
遇尚~果果 小汤山私家温泉  百兆宽带。（温泉暂停）,290,近小汤山温泉区,18,4.9,2
14 近商圈近天安门近医院多景点美式复古/北欧风/森林风/简美风多套可选两张大床四人公寓高档配置,729,None,44,5.0,4
北京南二环一居公寓出租,337,None,6,3.8,2
国贸三里屯北京站夜景温馨精装修双人房,399,近大望路地铁站,1,5.0,2
北京南二环一居公寓出租,337,None,6,3.8,2
国贸三里屯北京站夜景温馨精装修双人房,399,近大望路地铁站,1,5.0,2
