民宿标题,价格,地利,评论数,得分,适合居住人数
中东大市场/欢乐颂♥一居loft公寓,105,近长青地铁站,152,4.8,2
Ins风“绿野仙踪”复式智能门锁大床套房,131,近卫明街地铁站,128,4.9,2
长春西站-精装Loft公寓/床品一客一换/紫外线、84整屋消毒,86,None,66,4.9,2
【觅途】摩洛哥主题LOFT大床房/红旗街/万达广场/这有山/欧亚商城/长影制片厂,158,None,8,5.0,2
倾馨雅舍·寻梦/长春/长春新区/近～北湖湿地公园/吾悦广场/工业大学/十一高/品质两居室/家一般惬意,140,None,3,4.9,4
清幽小筑（砂之船中东奥莱店）,127,None,39,4.8,2
中东大市场/中东旁近商圈欢乐颂爱巢loft公寓床品一客一换，整屋紫外线杀菌，84消毒,105,None,25,4.5,2
【 觅途 】之 Loft投影大床房 / 红旗街万达商圈 / 百脑汇 / 欧亚乐活里 / 艺术学院,158,None,12,5.0,2
爱巢拾光loft精品公寓（近火车站北站/中东港/中东砂之船/地铁1号线）,110,None,38,4.8,2
中东大市场/欢乐颂 精装 loft南风公寓/床品一客一换，84消毒整屋,99,None,2,5.0,2
近1号线近医院Loft复式,104,None,3,5.0,2
四马路咏春日系风清新大床房【密码入住】,159,近胜利公园地铁站,63,5.0,2
会展中心像素公馆loft公寓/无接触自助服务/深度清洁：84消毒液，紫外线消毒爱巢大床房,135,None,36,4.9,2
长春西站/汽车厂/锦绣田园 公寓/床品一客一换，84消毒整屋,86,None,11,5.0,2
《泊宿·遇见》春水微澜,130,近华庆路地铁站,39,5.0,2
长春北湖吾悦广场|精装大床房|独立卫生间|可容纳2人入住（房源有多套，装修风格有所差异）,116,None,2,5.0,2
会展中心/像素公馆♥一居loft公寓,115,近世纪广场地铁站,251,4.8,2
长春清新日式民宿/【依霖.畔响民宿】/红旗街商圈独立一室公寓/万达广场/这有山/巨幕高清/自助入住,150,None,3,5.0,2
唯美温馨大床房【特价】长春市宽城区火车站万达自助民宿店（可月租）,119,近长春站北地铁站,143,4.8,2
会展中心/像素公馆 一居loft公寓,115,None,8,5.0,2
长春公园吾悦广场西站景阳广场温馨双床房,177,近景阳广场地铁站,8,5.0,4
近医院近大学整套大宅大客厅,188,None,2,5.0,6
【橙途】净月大学城/巴蜀印象/精/品两居,215,None,55,5.0,4
长春理工大学/蜜蜂公寓1居室/晨曦精装投影大床房/床品一客一换，84消毒整屋,135,None,8,5.0,2
香芋精品公寓阳光硅谷精品大床房,191,近硅谷大街地铁站,15,5.0,2
观影大床房    ,160,None,2,5.0,2
南湖ins独角兽主题复式loft大床套房,131,近卫明街地铁站,28,5.0,2
富苑之佳民宿公寓,122,None,10,5.0,2
吾悦广场西站长春公园景阳广场舒适2居,177,近景阳广场地铁站,5,5.0,4
金领公寓近大学近国际会展中心近医院温馨私享,138,None,6,4.8,2
中东瑞家/师范大学豪华温馨私享Loft,139,None,2,4.6,4
长春春城之家中式酒店长春站/宽城万达智选大床房,119,近长春站北地铁站,177,4.6,2
近1号线近医院温馨私享Loft复式,121,None,1,5.0,2
长春北站宽城万达公寓_牛仔很忙大床房,129,近长春站北地铁站,3,5.0,2
会展中心‖净月大学城‖英式大床房,138,近世纪广场地铁站,5,5.0,2
大禹南湖学府 ins风榻榻米,134,近卫明街地铁站,27,4.6,2
会展中心近商圈温馨私享Loft复式双床房,154,None,15,4.8,4
长春人民广场壹克拉公馆舒适情侣小居,138,近平阳街地铁站,58,4.8,2
小清新大床房/长春站北/宽城万达/可月租长租/交通便利,159,None,13,4.9,2
长春师范大学/中东瑞家粉色ins公主风复式_电梯密码锁,139,None,3,5.0,4
中东港砂之船『自度民宿』北欧风，有投影仪，冰箱，空调，免费洗漱用品,158,None,8,4.9,2
欧亚卖场商圈/有木——拾六城市民宿,125,近南湖大路地铁站,8,4.7,2
Line friends loft大床房,131,近卫明街地铁站,57,4.8,2
红旗街万达楼上蜜语民宿投影房,140,None,2,5.0,2
香芋精品公寓阳光硅谷店温馨塌塌米房,121,近硅谷大街地铁站,2,5.0,2
【橙途】吉大南岭/体育场/投影麻将大两居,242,None,50,5.0,5
万豪世纪广场美式大床房,133,近世纪广场地铁站,37,4.8,2
【橙途】生态广场/净月大学/轻奢小筑一居,161,None,5,5.0,2
中东瑞家家居广场附近（1公里以内）北湖湿地公园（6公里以内），欧亚超市（2公里以内）火车站4.8公里,160,None,5,5.0,4
伊通河畔河景套房,250,近伊通河地铁站,43,4.9,8
【橙途】南湖/长春工业/欢乐城/简约两居,196,None,8,5.0,4
长春逸居日租公寓简约大床房,133,近建设广场地铁站,47,4.7,2
