民宿标题,价格,地利,评论数,得分,适合居住人数
近春熙路•熊猫基地•地铁3号线•空中花园•mini大床房•楼下王府井•免费行李寄存•停车场•可开发票,307,近李家沱地铁站,957,5.0,2
【一室一厅】春熙路｜熊猫基地｜宽窄巷子｜楼下王府井｜近地铁｜免费空中书吧｜空中咖啡厅｜严格消毒｜,308,None,270,5.0,2
【北欧风大床房】王府井购物中心高空观景露台图书馆 地铁3/7号线/近春熙路太古里/熊猫基地/宽窄巷子,328,近李家沱地铁站,456,5.0,2
【生椰拿铁】双流机场-空港国际城-T-MAX-花天锦地-百寸投影-北欧清新大床房,161,None,26,4.8,2
【每日消毒】【高空夜景】近春熙路·宽窄巷子·熊猫基地·地铁3号线·楼下王府井商圈·免费寄存行李,275,近李家沱地铁站,796,5.0,2
王府井旁！精装大床房/网红观景露台/免费图书馆/近春熙路/熊猫基地/地铁3号线,286,近李家沱地铁站,1743,5.0,2
「景图」2.2米私享大床房近川师大成龙校区/三圣花乡/行政学院地铁口,136,近大面铺地铁站,60,4.8,2
【双楠·天都】武侯祠锦里-投影-双地铁/免费旅行咨询,207,近红牌楼地铁站,261,4.8,2
【可月租】春熙路宽窄巷子文殊院地铁口静夜大床房,271,近文殊院地铁站,1890,5.0,2
【月明】空港-双流机场-韩国城-川大/美食街-百寸投影-浴缸大床房,175,None,32,4.9,2
【抹茶影院民宿】太古里/春熙路/IFS/投影房/大阳台,299,近东门大桥地铁站,120,4.9,2
(每天消毒)春熙路//天府广场//太古里//市中心//近地铁口//可做饭//双床套房,468,近文殊院地铁站,150,5.0,4
【连住特惠】近春熙路/近地铁精致单卧【王府井旁】屋顶观景露台/免费书吧【楼下美食街】,276,近李家沱地铁站,1027,5.0,2
绿缘惠美家,148,None,36,4.8,2
【水晶套房】高空观景露台/图书馆/王府井购物中心/近春熙路太古里IFS/熊猫基地/双地铁//可停车,328,近李家沱地铁站,187,5.0,2
【巴适得板】楼下王府井•近春熙路•太古里•旅游攻略•楼顶空中花园•24小时安保•熊猫基地,294,近李家沱地铁站,256,5.0,2
【网红空中花园】春熙路｜熊猫基地｜宽窄巷子｜楼下王府井｜近地铁｜免费空中书吧｜空中咖啡吧｜严格消毒,269,近李家沱地铁站,1312,5.0,2
【北欧风大床房】王府井购物中心高空观景露台图书馆 地铁3/7号线/近春熙路太古里/熊猫基地/宽窄巷子,328,近李家沱地铁站,456,5.0,2
王府井旁！精装大床房/网红观景露台/免费图书馆/近春熙路/熊猫基地/地铁3号线,286,近李家沱地铁站,1743,5.0,2
