民宿标题,价格,地利,评论数,得分,适合居住人数
近解放碑 温馨私享可泡澡 观璀璨江景B1,251,近海棠溪地铁站,541,4.9,2
已消毒•loft公寓投影可做饭近西站时代天街奥体中心/近地铁环线一号线/多套房源会随机安排,177,近石桥铺地铁站,88,4.9,2
免费接送机。四分钟到机场。爱家轻奢大床房,124,近鹿山地铁站,190,4.9,2
【华驿酒店】华驿酒店(重庆弹子石老街店)南滨路/弹子石高级双床房,104,近涂山地铁站,21,4.9,2
【凡尘】高清投影房/磁器口网红打卡近轻轨,182,None,22,5.0,2
【半山兰亭】解放碑洪崖洞轻轨旁悦享大床房,243,近七星岗地铁站,1472,4.9,2
【一宅】大学城龙湖轻轨旁近熙街日式电影房,108,近尖顶坡地铁站,121,4.9,2
轻云.南坪八公里地铁站北欧大床房（洗衣）,128,近八公里地铁站,1045,5.0,2
毕业狂欢季【樱花之恋】+可看江景洪崖洞+高层无遮挡看江两居+免费游玩攻略+毕业快乐,711,近大溪沟地铁站,214,5.0,4
观音桥【法式贵族】豪华装修大床房,139,近观音桥地铁站,767,4.7,2
私人影院大床房/已消毒/落地窗/「洪崖洞」地铁口,268,近黄泥塝地铁站,2118,5.0,2
【拉文克劳】在家也可直观洪崖洞+15分钟到解放碑+嘉陵江景大两居,788,近大溪沟地铁站,500,5.0,4
重庆观音桥 懒鱼-蓝色麋鹿～套房,178,近观音桥地铁站,408,4.8,2
【斯维登】斯维登·家蜓公寓(重庆南坪翡翠明珠店)南坪商业中心区温馨双床房,193,近海峡路地铁站,933,4.9,2
盛夏来袭『锦绣长安』+近解放碑洪崖洞各网红景点+高层带吧台治愈江景2房,711,近大溪沟地铁站,302,5.0,4
重庆西站小住阳光大床/免费停车/地铁口,136,近重庆图书馆地铁站,332,4.9,2
轻云.八公里地铁站北欧双床套房（洗衣）,198,近八公里地铁站,60,4.9,4
近解放碑 温馨私享可泡澡 观璀璨江景B1,251,近海棠溪地铁站,541,4.9,2
【沫莉美宿】网红高清投影一居室近磁器口,118,近磁器口地铁站,219,4.9,2
凌渡-LOFT-投影仪-新壹街-观音桥-北城天街-免费旅游咨询-轻奢大床房,237,None,25,4.9,2
24小时免费接送江北机场鹿山地铁站惠选阳光大床房,116,None,53,4.9,2
梦百合零压大床房（北站爱琴海购物公园）,118,近童家院子地铁站,208,5.0,2
观音桥/清静小区/清新北欧大一室套房,125,近红旗河沟地铁站,239,4.8,2
免费接送机。四分钟到机场。爱家轻奢大床房,124,近鹿山地铁站,190,4.9,2
【半山兰亭】解放碑洪崖洞轻轨旁悦享大床房,243,近七星岗地铁站,1472,4.9,2
【一亭闲】解放碑洪崖洞/轻轨旁逸享大床房,219,近七星岗地铁站,241,4.9,2
