民宿标题,价格,地利,评论数,得分,适合居住人数
复式loft江景大床房,188,近铁道学院地铁站,56,4.7,2
【O-W民宿·日暮里】（明发店）日式主义风格/已消毒安心住/投影仪/全身镜/砂之船奥特莱斯靠近月亮岛,178,None,116,4.9,2
每日消毒【·霜降】投影/智能镜/直通地铁四号线/近高铁南站/旭辉国际广场/茶颜悦色/海底捞#行李寄存,238,近沙湾公园地铁站,208,4.8,2
长沙银湾民宿五一广场/IFS国金中心/长沙站水乡人家榻榻米,143,近迎宾路口地铁站,9,4.8,2
长沙一米阳光酒店公寓雨花亭/林科大豪华大床房,144,近黄土岭地铁站,14,5.0,2
【省政府/明德高中/湘府文化公园】轻奢大床影院房-轻奢电影主题风，超大落地窗，自带高清投影，近地铁口,219,None,1,5.0,2
IFS国金中心拾柒&拾忆五一广场步行街太平街坡子街管家服务地铁五一广场站旁,314,近五一广场地铁站,809,4.9,2
五一广场太平街湘江庭院柒月&纱幔投影房,263,None,792,4.9,2
“泰兰德”波西米亚Loft/全身镜【免费洗烘衣服务】民政学院/林科大/铁道学院/德思勤#行李寄存,248,None,13,4.8,2
IFS国金中心五一广场陌野&颜ins简风,300,近五一广场地铁站,1470,4.9,2
【黑白】两房一厅 五一广场IFS国金中心 太平老街 坡子街 黄兴步行街轻奢风房源随机,427,近五一广场地铁站,1282,4.8,4
O_W民宿【赤道】智能投影/全身镜/超大落地窗/靠近高铁南站/旭辉国际广场/浴缸/免费寄存行李,238,近沙湾公园地铁站,99,4.8,2
【O-W民宿·风铃木】（建发店）日式主义loft/已消毒/黄土岭地铁站直达五一/近贺龙/可寄存行李,298,None,44,4.7,2
欢畅小筑大床房,148,近广电世界之窗,4,4.3,2
【o_w民宿•云端】大落地窗/可免费寄存行李/日式简约风格木床落地窗/开福寺站/靠近五一广场黄兴广场,310,近开福寺地铁站,44,4.8,2
【宿兮】IFS国金五一广场黄兴路步行街北欧大床房,299,None,172,4.9,2
近2号线近商圈温馨私享私人影院/投影设备,173,None,1,5.0,2
每日消毒【·霜降】投影/智能镜/直通地铁四号线/近高铁南站/旭辉国际广场/茶颜悦色/海底捞#行李寄存,238,近沙湾公园地铁站,208,4.8,2
长沙久阳公寓式酒店市委/市政府商圈标准双人间,134,近开福寺地铁站,20,4.5,2
【域间·浅境】美学空间|浴缸投影|长沙南站|探索系列·适合拍摄,273,None,276,4.9,2
【O_W民宿·麦花香】 超大落地飘窗日式主义风格/近5号线近商圈温馨私享,202,None,4,5.0,2
一套现代风格乡村别墅【向往的生活】烟花焰火燃放,157,None,18,4.9,3
五一广场1号地铁口，两室一厅套房，IFS国金中心，太平街，坡子街，黄兴步行街,510,None,136,5.0,4
拾贰《椿禅》五一广场地铁口 日系榻榻米 ,268,近五一广场地铁站,23,4.9,2
【Feeka.玻璃晴朗】高层观景|120寸巨幕投影|岳麓区 步步高梅溪湖新天地、涉外经济学院、一师范,219,None,5,5.0,2
火车高铁南站+LOFT复式两居房+近地铁2号线+可做饭+近北欧风+近地铁+近会展中心,253,近杜花路地铁站,21,4.8,4
【米家民宿】五一广场国金中心步行街地铁口ins/智能影院房/平和堂王府井/一盏灯炊烟食代/橘子洲,298,None,51,5.0,2
汽车西站舒适轻生活／地铁2号线望城坡站,156,近望城坡地铁站,67,4.3,2
【隐庐·致爱】今夜特价五一广场国金中心橘子洲近地铁1号2号线/粉红公主情侣/古街民国别墅汉服免费体验,148,近南门口地铁站,37,4.8,2
【省政府/明德高中/湘府文化公园】轻奢大床影院房-轻奢电影主题风，超大落地窗，自带高清投影，近地铁口,219,None,1,5.0,2
【省政府/明德高中/湘府文化公园】轻奢大床影院房-轻奢电影主题风，超大落地窗，自带高清投影，近地铁口,219,None,1,5.0,2
o_w民宿【茶马古道】（明发店）已消毒安心住/投影仪/全身镜/砂之船奥特莱斯/靠近月亮岛,188,None,6,4.9,2
“泰兰德”波西米亚Loft/全身镜【免费洗烘衣服务】民政学院/林科大/铁道学院/德思勤#行李寄存,248,None,13,4.8,2
