民宿标题,价格,地利,评论数,得分,适合居住人数
【悠家】【北欧风】近五指山/红峡谷漂流/槟榔谷/呀诺达/麻将机/阳台上看日出/120吋投影仪/可做饭,316,None,11,5.0,6
五指山市区泳池小区2室1厅阳光山景房,201,None,8,5.0,4
五指山澜湖岸边小区/有空调/WiFi/有游泳池/二居民宿,190,None,13,4.7,4
全山景两室一厅,214,None,None,None,4
五指山水云居民宿豪华湖景套房三室一厅,549,None,47,4.5,6
【悠家】近红峡谷|五指山|热带雨林风景区|槟榔谷|呀诺达雨林文化旅游区|适合自驾|高清投影|三居,298,None,16,4.3,6
五指山水云居民宿三室一厅套房,488,None,None,None,6
五指山椰枫家园酒店豪华2室1厅套房,167,None,37,4.5,4
五指山廉华民宿双床房,99,None,9,4.3,2
五指山国家自然保护区雅致双床房,312,None,None,None,2
【途窝】途窝假日酒店(五指山店)途窝拾光单人房,84,None,98,4.6,1
林语雅居·翡翠山城北欧风格复式露台山景房,658,None,15,5.0,6
五指山水云居民宿湖畔华丽套房一室一厅,391,None,None,None,2
五指山国家自然保护区山谷雨林房,346,None,None,None,2
途窝假日(五指山店)华丽观景大床房,142,None,None,None,2
五指山金源快捷酒店标准大床房,77,None,15,3.7,2
五指山乡茶民宿双床房,160,None,None,None,2
景观3人间,118,None,None,None,3
悦客之家→精品电梯两室一厅养生公寓,252,None,4,4.6,4
五指山水云居民宿豪华湖景套房四室两厅,686,None,13,3.7,5
五指山乡茶民宿三人房,208,None,None,None,3
林语雅居·翡翠山城现代风格两居山景房,416,None,11,4.9,4
五指山璟熙精品酒店豪华商务大床房,134,None,1,5.0,2
五指山水云居民宿豪华湖景套房五室两厅,952,None,35,4.7,9
【途窝】途窝假日酒店(五指山店)途窝拾光双人房,84,None,90,4.2,2
山景房,148,None,3,5.0,2
【悠家】中华民族文化村太平山瀑布,231,None,None,None,2
五指山水云居民宿湖景豪华套房一室一厅,402,None,36,4.6,2
【悠家】五指山/大禹星宿太平山瀑布/红峡谷/五指山红峡谷文化旅游区点/翡翠公园/红河谷漂流/三居室,358,None,None,None,6
【途窝】途窝假日酒店(五指山店)豪华观景双床房,91,None,31,4.4,2
【悠家】近太平山瀑布|红峡谷文化旅游区|海南省民族博物馆|阿驼岭森林公园|五指山自然保护区|,145,None,None,None,2
五指山颐山居,90,None,1,4.7,2
林语雅居·翡翠山城地中海风格民宿山景房,338,None,31,4.9,4
【途窝】途窝假日酒店(五指山店)豪华观景大床房,99,None,39,4.3,2
五指山水云居民宿华丽湖景套房五室两厅,1138,None,None,None,9
五指山璟熙精品酒店豪华夜景双标房,143,None,1,5.0,2
途窝假日(五指山店)华丽观景双床房,139,None,None,None,2
仁帝山雨林度假公寓-大床房（无早餐）,318,None,None,None,2
双床舒适房,128,None,1,4.3,2
五指山天鹤峪岭旅居景观开间大床房,156,None,None,None,2
五指山疗养度假大户型民宿（呀诺达热带雨林附近）,474,None,2,5.0,6
【途窝】途窝假日酒店(五指山店)温馨家庭套房,169,None,10,3.9,2
怡然之家,428,None,None,None,4
仁帝山雨林度假公寓-园景套房+泡池+早餐（4人）,568,None,None,None,2
五指山水云居民宿华丽湖景套房三室一厅,656,None,None,None,6
途窝假日(五指山店)途窝拾光单人房,129,None,None,None,1
景观大床房,110,None,None,None,2
五指山国家自然保护区华丽观景大套房,773,None,None,None,2
五指山水云山庄民宿标准三人间,95,None,5,4.1,3
五指山冬暖夏凉民宿标准三人间,144,None,6,4.7,3
仁帝山雨林度假公寓-高级双床房（无早餐）,318,None,None,None,2
五指山国家自然保护区华丽观景双床房,413,None,None,None,2
五指山水云山庄民宿豪华三人间,95,None,5,4.0,3
五指山秋光民宿标准大床房,65,None,None,None,2
五指山天鹤峪岭旅居景观开间双床房,173,None,None,None,2
