民宿标题,价格,地利,评论数,得分,适合居住人数
❥漓江边的花园别院 |漫享觅静岁月大床,182,近七星景区,366,4.9,2
城中心/象鼻山/两江四湖  慕江居江景房小标间/免费停车,126,近芦笛岩,38,4.9,2
中心/靖江王城/东西巷/象鼻山/两江四湖,207,近两江四湖,44,4.9,6
【泊缘B栋】西街对面漓江边 城景亲子房/免费停车/含早餐/私家花园/天空之镜拍照温馨私,228,None,None,None,3
别居一阁民宿（西街店）阳台观景标准间,128,None,237,4.8,2
❥漓江边的花园别院 |漫享觅静岁月双床,232,近七星景区,280,4.9,2
（免费无边际观景泳池！）温馨大床套房 （一房一厅）/免费赠送西街渡轮票一次 优惠温泉六折,483,None,330,5.0,2
☕湖畔小资别墅|步行游两江四湖安静大床房,170,近芦笛岩,458,5.0,2
桂林火车站旁你好民宿复式loft近象鼻山,213,近火车南站,56,4.9,6
花桥虹影♥近漓江象鼻山、东西巷，伴山双床,151,近七星景区,635,4.9,2
【花千树】阳朔近西街标准间 1.2米双床,115,None,492,4.9,2
七星象山景区·育才·庭院·别墅·免费停车,292,近七星公园,256,5.0,6
桂林仔.桂林站/象鼻山步行十分钟电梯双床,165,近火车南站,81,4.9,4
西街漓江竹林山景观景大床房/县城免费接/免费停车场/天然氧吧（近西街、印象刘三姐、十里画廊）,201,None,93,4.9,2
【白鹿小院】近西街/ins风大床/木制or铁制/免费停车,218,None,139,5.0,2
【泊缘B栋】西街对面漓江边 城景亲子房/免费停车/含早餐/私家花园/天空之镜拍照温馨私,228,None,None,None,3
阳朔西街汉服旅拍民宿/中式无阳台大床房/免费体验汉服一次（不含妆造摄）,229,None,191,4.9,2
西街漓江边竹林山景亲子家庭房+沙发/县城免费接/免费停车场/天然氧吧（近西街、印象刘三姐、十里画廊）,292,None,154,5.0,3
相沫民宿-素白薇蓝标间 市中心近东西巷+咨询时段免费停车+免费旅行私人定制,132,近两江四湖,258,4.7,3
中式风格江景两室1厅近西街印象刘三姐,272,None,20,4.6,4
📻【日式原木】赠酒精喷瓶高成本保洁消毒,280,近火车南站,45,4.9,6
【城宿·画竹】清新优雅度假小屋|采光阳台2房/漫步漓江/近东西巷/漓江边/象鼻山/两江四湖/桂林站/可住4人,158,None,1,5.0,4
阳朔华源观景阳台家庭房，20元人民币背景,183,None,251,4.8,4
❤躺床上看湖景|步行游两江四湖浪漫大床房,247,近芦笛岩,50,4.8,2
雅栖榻榻米（送陶艺体验1份）,137,None,192,4.9,2
【玖居半山】金桓 ｜  阳台山景大床房 · 180°落地窗 · 免费停车场,149,None,254,4.9,2
【隐园】阳朔十里画廊遇龙河畔·阳台大床房,297,None,80,4.9,2
【优旅】七星公园/景韵薰衣草观景双层二居/可短租,173,None,47,5.0,4
