民宿标题,价格,地利,评论数,得分,适合居住人数
【墨·宿】江南西/简约ins/高清投影电视,139,近燕岗地铁站,124,4.7,2
长隆美雅复式大床房（汉溪长隆地铁店）,216,近汉溪长隆地铁站,1015,4.8,2
从化温泉富力泉天下复古5房温泉别墅【养生温泉+KTV+麻将+烧烤+厨房】,688,None,7,5.0,14
广州途辉主题公寓白云山风景区法式浪漫复式单间,108,None,135,4.6,2
【菲梵】可步行到长隆欢乐世界北门-近距离温馨大床房,148,近汉溪长隆地铁站,536,4.7,2
广州长隆地铁香美园复式公寓,428,近汉溪长隆地铁站,231,5.0,6
【梅花园】森系物语·广州东站/吊椅一居室,118,近梅花园地铁站,132,4.6,2
【小筑】网红复式 地铁淘金站 广州东站,157,近淘金地铁站,61,4.8,2
近广州南站网红民宿简约大床房/南站免费专车接送/全面消毒,68,None,165,4.9,2
【喜小宅】180℃江景房 芳村地铁五百米 可做饭 女子医院/上下九/沙面/北京路/永庆坊/太古仓,148,None,4,5.0,2
桐•宿市中心上下九沙面北京路loft大床,118,近一德路地铁站,5,5.0,2
祈福新村缤纷汇商圈大屏幕独立厨房大床房,192,None,17,5.0,2
广州南站长隆大夫山祈福商圈,117,近钟村地铁站,201,4.9,2
豪华复式大床套房☞汉溪长隆地铁站店,235,近汉溪长隆地铁站,279,4.9,2
从化明月山溪.欧式复古5房温泉别墅带『私家温泉·泳池』,1150,None,18,5.0,10
芳村地铁口江景大阳台Loft公寓-大单间,268,None,15,5.0,3
碧桂园夕阳余晖复式双层套房（超大阳台）,138,None,28,4.9,3
从化温泉富力泉天下复古5房温泉别墅【养生温泉+KTV+麻将+烧烤+厨房】,688,None,7,5.0,14
星汇国际公寓(广州燕岗地铁站店)江南西/国际轻纺城/珠江南附近雅致大床房,136,近燕岗站地铁站,391,4.7,2
四叶草公寓(广州未来域店)番禺长隆/广州南站附近塌塌米一房一厅双床,105,近钟村地铁站,134,4.6,2
【免费接送机】机场碧桂园两房一厅-环境优美/机场商圈/接送机/24小时管家,142,近机场南（1号航站楼）地铁站,412,4.8,3
【轻奢&观景】番禺天河城/长隆欢乐世界/万达广场/南村万博地铁站/广州南站/广州大学城,150,None,1,5.0,2
24h免费接送碧桂园Loft家庭套房,206,None,89,4.8,4
近机场碧桂园花境一房一厅,121,None,14,5.0,2
棠溪/德康路/三元里，北欧复式吊床风格,148,近飞翔公园地铁站,43,4.9,2
意式超大浴缸套房*60寸家庭影院优酷会员*煮食火锅直达*珠城航海学院黄埔军校古港琶洲,236,None,5,5.0,2
【一栈】设计师的家，广交会 琶洲会展,185,近南村万博地铁站,119,4.8,2
广州萝岗地铁6号线香雪站豪华复式两房一厅,219,近香雪地铁站,212,4.8,4
风尚优居酒店式公寓(广州中大店)江南西/国际轻纺城/珠江南附近标准大床房,121,近中大地铁站,207,4.6,2
居家带厨房厨具 双人大床房 美式复古落地窗 近商场 同和地铁站 京溪南方医院 广东省旅游学校,177,近同和地铁站,17,4.7,2
居家带厨房厨具 双人大床房 美式复古落地窗 近商场 同和地铁站 京溪南方医院 广东省旅游学校,177,近同和地铁站,17,4.7,2
超级网红民宿【大隐•南越王】玻璃屋露天花园/北京路/圣心大教堂/珠江游/广州塔/沙面/上下九老西关,130,近公园前地铁站,15,4.8,2
