民宿标题,价格,地利,评论数,得分,适合居住人数
唯家WE+新青年公寓绿墙三人间,135,近烟厂地铁站,112,4.9,3
【旅途】网红INS风/投影/邻中央大街,159,近哈尔滨西站地铁站,110,4.8,2
哈西站，哈西万达，布达佩斯奇妙大床房,188,None,59,4.8,2
【恋家】中央大街/索菲亚教堂,195,近烟厂地铁站,35,5.0,4
步行一分钟到达中央大街豪华大床房,166,近博物馆地铁站,257,4.8,2
【Flat White 馥芮白7】百寸投影-楼下索菲亚教堂-300米中央大街,319,None,3,5.0,4
【遨游】哈尔滨冰城公寓中央大街店中央大街步行街/索菲亚大教堂/防洪纪念塔两情相悦主题房,190,近博物馆地铁站,4,4.9,2
近3号线近商圈貂熊民宿馆,202,None,9,5.0,4
哈尔滨奥格快捷民宿哈尔滨西站/哈西万达广场舒适大床房,134,近哈尔滨大街地铁站,16,4.5,2
【Blue Moon】中央大街/索菲亚教堂/冰雪大世界/中华巴洛克/中东铁路桥【智控·零压大床】,225,None,2,5.0,4
【丰光江景•风情】中央大街-松花江畔-网红桥-索菲亚-巴洛克-德云社-落地窗-直观江-VIP百寸投影,298,None,3,5.0,3
乔居●酌酒│哈西万达│哈西站│投影│自助入住│大一居可住三人,207,None,2,5.0,3
【旅途】群力/投影/北欧三人/邻中央大街,169,近哈尔滨西站地铁站,43,4.9,3
【Snow •智控·零压大床·可做饭】中央大街/索菲亚教堂/冰雪大世界/中华巴洛克/中东铁路/哈一中,233,近博物馆地铁站,10,4.9,3
中央大街/巴洛克/投影麻将现代舒适三居室,685,近烟厂地铁站,10,4.9,6
【夏日空调冷气房】中式禅意城市净地,147,None,5,5.0,2
大盛日租公寓(哈尔滨哈西店)哈尔滨西站/哈西万达广场温馨大床房,134,近哈尔滨大街地铁站,179,4.5,2
月租优惠东大直街辽阳街维家公寓温馨大床房,143,近医大一院地铁站,84,4.9,2
溪岸艺墅20层观景大床房，纵观湿地公园，冰雪大世界，王府井关东古巷,169,None,4,5.0,2
【禅意】百盛楼上落地明窗影院房,185,None,3,5.0,2
