民宿标题,价格,地利,评论数,得分,适合居住人数
【影宿】京商商贸城/安医四附院/轻雅一居,139,近瑶海工业区,15,4.8,2
栖岸流云安农大地铁站近之心城庭院投影2居,298,近安农大地铁站,15,4.9,4
【壹里-蔓草】已消毒~融创茂（万达茂），滨湖银泰城，融创乐园，loft，日式，地铁口， 家庭影院,169,None,8,5.0,2
然而你好[]拿铁[]loft尊享房东风大道近华东建材城，华盛BBB商业广场，小吃街文博城周谷堆大运城,163,None,2,5.0,3
【枫隐丽舍】京商商贸城/高清投影/轻雅一居,139,None,6,4.9,2
北一环/自助/民宿公寓/洗衣;做饭/开票,148,近三孝口地铁站,8,5.0,2
【竹取物语】近万象汇/近地铁口/巨幕投影/日系风温馨一居,168,None,27,4.3,2
【忆&居】包公园/步行街/万达/逍遥津,278,None,73,4.9,4
【渡尧】北欧风轻奢极简观景Loft复式公寓,140,None,8,4.9,2
华联商场/新天地购物/夜市/一环内/落地窗/投影/北欧风榻榻米/可做饭,227,None,2,5.0,4
【初心】近万象汇/华孚城隍庙/近地铁口/巨幕投影/清新一居,138,None,5,5.0,2
【隐庐】北一环地铁口/大投影榻榻米大床房,189,近明光路地铁站,7,4.8,2
【Ins别墅庭院 】民宿 靠近南站 每天消毒二次 *新中式精装修 *智能马桶 *浴缸 *进口洗漱用品,220,None,5,5.0,2
1912北欧风温馨私享日式清新风北欧风附近网红风ins风,127,None,4,5.0,2
天鹅湖边地铁口迦南公寓百吋投影洗衣机冰箱,177,None,14,4.8,2
地铁口万达旁、美式田园温馨私享简约风近地铁2号线，独享空间,136,None,2,5.0,2
涵之家公寓～南站～罍街～绿地,156,近秋浦河路地铁站,7,4.1,2
豪装民宿，欧式居家风，淮河路步行街、包河万达广场旁,141,None,1,5.0,2
浅时光时尚大床房,119,None,2,5.0,2
小飞公寓之上野的樱花,210,近三里庵地铁站,55,5.0,2
M.ting系列四原宿，日式庭院,168,近三孝口地铁站,22,4.6,2
【絨舞】网络电视  大床/时光小筑/天鹅湖银泰城/政务区/潜山路/华府骏苑/地铁3号线/小清新阳光房,117,近五里墩地铁站,3,5.0,2
〖途宿〗臻选LOFT设计师公寓 全景·飘窗大床房,265,None,45,4.9,2
【美芥】雅致 全屋智能体验佳  近地铁 近中环城  吃喝玩乐一体  近医院日式清新风简约风,152,None,1,5.0,2
【影宿】近万象汇/华孚城隍庙/地铁口/大投影/LOFT清新一居,168,None,8,4.8,2
壹里-云裳】已消毒~婚纱主题拍照 宁国路,169,近合工大南区地铁站,13,4.6,2
『浪漫樱花』日式简约投影~北一环～双岗、合肥站、淮河路步行街、地铁3号线、蓝光时代红街,151,近长淮地铁站,3,5.0,2
【美芥】 中环城 吃喝玩乐一体 轻奢简约 近大学城 交通便利 每客消毒 24小时热水,159,None,1,5.0,2
『田园牧歌』京商商贸城/安医四附院1居,129,近瑶海工业区,13,4.5,2
合肥拾光民宿1912酒吧街/西七里塘/黄山路商业区宜家大床房,116,近五里墩地铁站,14,4.8,2
【揽居】近万象汇/地铁口/巨幕投影雅致一居,158,None,9,4.8,2
淮河路步行街双地铁口 LOFT两居室,268,近大东门地铁站,27,4.7,4
可月租火车站三里街地铁口交通便利投影大床,150,近三里街地铁站,47,4.7,2
会展中心，北欧ins风两居室，本末设计师,268,近滨湖会展中心地铁站,11,4.9,4
之心城/步行街/省立医院智能日式风情大床,165,近三孝口地铁站,16,5.0,2
皖·遇『陆居』大投影私人影院，地铁口旁,185,近十里庙地铁站,2,5.0,2
等你（明珠广场ins网红风复式公寓）,156,近明珠广场,40,4.9,2
（美芥）每客消毒 近商圈 吃喝玩乐一体 近地铁 交通便利 近大学 中式风  落地窗,145,None,2,5.0,2
秋田里（智能AI大床房）,195,None,1,5.0,2
之心城/步行街/省立医院智能清新简约大床,154,近三孝口地铁站,16,4.9,2
滨湖近1号线地铁口融创茂水上乐园近融创游乐园巢湖边日式大床房,177,None,1,4.7,2
【屿涧】奈良/高铁南站/罍街/高清投影,174,近合肥南站地铁站,5,4.2,2
【X漫】京商商贸城/双人浴缸/野奢一居,158,None,7,4.6,2
皖·遇『素舍』loft，绿地缤纷城，罍街,298,近朱岗地铁站,15,4.7,4
【偶遇】遇·享/ins北欧风/网红吊椅巨幕影咖大床/中环城大学城/翡翠湖/徽园/海洋世界/明珠广场,168,None,1,5.0,2
『云之彼端』中隐于市合工大漫乐城大床房,448,近朱岗地铁站,15,4.9,6
合肥MISS天十酒店公寓包河区政府/包河工业园豪华主题房,115,近南站南广场地铁站,11,5.0,2
精品优雅房,186,近朱岗地铁站,12,4.9,2
合肥蓝海民宿大钟楼/包公园阳光商务标准间,107,近四牌楼地铁站,168,4.9,2
【且听风吟】近缤购罍街龙虾一条街3居室,428,近合工大南区地铁站,16,4.9,6
然而你好{}摩卡{}loft复式尊享房近大学华盛BBB商业广场，华东建材城，周谷堆，文博城，小吃街,163,None,1,5.0,3
双电脑55寸电视|真皮实木家具全套厨具2,174,近滨湖会展中心地铁站,9,4.8,2
【青蔚】近步行街、火车站‖北一环、白水坝,188,None,3,5.0,2
 『朴宿』京商商贸城LOFT温馨一居,158,近瑶海工业区,3,5.0,2
天鹅湖/银泰商场/省立医院南区/融创壹号院大落地窗 全景挑高Loft,241,None,5,5.0,2
火车站附近藏龙阁（拉爵精品公寓）,126,近东五里井地铁站,15,4.6,2
合肥淮河路步行街旁，包河万达广场旁,141,None,1,5.0,2
神秘树公寓(合肥新世界店)宁国路工大美食一条街/罍街精品公寓房,144,近合工大南区地铁站,120,4.9,2
臻选精美高端Loft，超大全景落地窗，万象城/天鹅湖/银泰/蔚蓝商务港/省立南区,268,None,4,5.0,2
融创乐园朝南湖景房三生三柿可做饭一居室,155,None,3,5.0,2
【当下】万达/合工大/体育馆/包公园,368,None,56,4.8,6
荷兰村（智能AI影院大床房）,209,None,1,5.0,2
【Z漫】京商商贸城/双人浴缸/轻奢一居,158,近瑶海工业区,8,4.7,2
《别来无恙》投影大床｜万达茂｜地铁口,169,近万达城地铁站,1,5.0,2
近火车站 生态公园 三室两厅温馨套房,251,近合肥火车站地铁站,20,4.8,5
【MEES】地铁口、万达旁 波西米亚风 吊床房,150,None,2,4.4,2
【星期租优惠】地铁/罍街宁国路/星海城,122,近秋浦河路地铁站,25,4.7,2
一地故乡 涟漪 合肥西站对面近天鹅湖近1912近万达近医院近大学温馨私享观景,127,None,5,5.0,2
国购之心城/环球【消毒/长租特惠】温馨房,189,近安农大地铁站,50,4.8,2
【霜享】近万象汇/华孚城隍庙/近地铁口/温馨私享影院别致一居,148,None,8,5.0,2
【指间砂】_观澜网红投影落地窗吊床房_,235,近合工大南区地铁站,17,4.8,2
《不知》天鹅湖民族双人超大浴缸房。,189,近政务文化新区,1,5.0,2
肥东青年时代高端公寓夜之月特惠大床房,108,None,143,5.0,2
罍街南站可选电竞双电脑/步行街/小米电器,174,近秋浦河路地铁站,22,4.7,2
【一见倾心】万达威斯汀旁观影两居,239,近包公园地铁站,15,4.5,4
【邂逅】滨湖会展馆/高铁南站/可做饭,262,None,2,5.0,4
肥东青年时代高端公寓夜之月特惠大床房,108,None,143,5.0,2
『THESKY·岛茶』新！宜家风近中环城大学城翡翠湖明珠广场星达城万象城合柴1972地铁3线繁华大道,177,None,2,5.0,2
国购之心城/环球【消毒/长租特惠】温馨房,189,近安农大地铁站,50,4.8,2
紧邻地铁科学大道站暖色调实木温馨品质一居,188,近科学大道地铁站,9,4.9,2
精品优雅房,186,近朱岗地铁站,12,4.9,2
【秀•宜居】火车站/安徽大市场/元一时代,244,近东五里井地铁站,20,4.9,4
《别来无恙》投影大床｜万达茂｜地铁口,169,近万达城地铁站,1,5.0,2
臻选精美高端Loft，超大全景落地窗，万象城/天鹅湖/银泰/蔚蓝商务港/省立南区,268,None,4,5.0,2
宝利丰爱情公寓‖麋鹿情缘‖爱丽小屋,158,近朱岗地铁站,26,4.8,2
【开翎榻榻米空间】设计赛选材打样级品质 近淮河路步行街市中心/近万达广场/近合肥火车站/武里山天街店,162,None,9,5.0,2
【路客】暑期|『上善若水』近元一时代广场|近步行街|近逍遥津公园|近合肥火车站|近包公园日式,273,近长淮地铁站,46,4.9,4
楼下地铁|全明|遮光窗帘|合肥南站5#,194,近秋浦河路地铁站,29,4.8,2
【年终特惠】130平两居大宅元一广场火车站步行街逍遥津公园,251,近长淮地铁站,8,5.0,4
瑶海万达双人公寓景观房,142,近漕冲地铁站,7,5.0,4
壹里-水色】已消毒~融创茂湖景房 地铁口,207,近万达城地铁站,11,5.0,2
【1912】大唐国际/银泰城/万达天鹅湖,350,None,38,4.8,6
包河万达，合工大，包公祠，绿地簠街（小吃街）宁国路罍街，周谷堆批发市场、外国语学院，家乐福购物广场，,180,近合工大南区地铁站,13,5.0,6
【已消毒】新房特价/罍Lei街三室居,389,近秋浦河路地铁站,3,5.0,6
【壹里-秋色】已消毒~融创茂（万达茂），滨湖银泰城，融创乐园，loft，日式，地铁口， 家庭影院,169,None,2,5.0,2
月租｜周租|发票|『蔚蓝悠居』三室洋房\学林公园\磨店\职教城\黉街\技师学院\职业学院\工业学校,266,None,5,4.8,6
【琳薇小寓】和平广场/包河万达/步行街,180,近包公园地铁站,40,5.0,2
家天下生活广场豪华商务大床房智能地暖,165,近合肥火车站地铁站,1,5.0,2
【家庭房】京商商贸城/安医四附院/一六八中学/合肥综合保税区/轻雅一居,168,None,2,5.0,3
政务区   天鹅湖  融创壹号院Loft复式落地窗湖景大床房,288,None,5,5.0,2
北一环财富广场星星点灯情侣约会一居室,156,近三孝口地铁站,1,2.5,2
紧邻地铁科学大道站暖色调实木温馨品质一居,188,近科学大道地铁站,9,4.9,2
近地铁2号线环景榻榻米大床,229,None,None,None,2
【邂逅】滨湖会展馆/高铁南站/可做饭,262,None,2,5.0,4
【城际名宿】北欧时尚休闲套房|明珠广场|欧洲风情街|海底世界|欢乐谷|徽园|中环城|翡翠湖|大学城,150,None,4,5.0,2
《西江月》万达地铁口投影房～融创乐园,159,近万达城地铁站,11,5.0,2
合肥小时光公寓政务文化新区/万象城/奥体中心梦幻地中海,94,近五里墩地铁站,10,4.7,2
北一环/近步行街、财富广场/温馨一居,118,近四牌楼地铁站,38,4.7,2
【当下】北欧风1号线/罍街/宁国南路,219,None,34,4.8,2
近之心城安农大地铁口/清新风/开发票【千与千寻】,200,近安农大地铁站,70,5.0,2
【空蝉】近步行街‖北一环‖财富广场‖两居,268,近三孝口地铁站,22,5.0,4
已消毒【童话】滨湖会展馆地铁口/高铁南站/万达茂/环巢湖/可做饭,223,None,7,5.0,4
〖途宿〗臻选LOFT设计师公寓 园景·飘窗双床房,294,None,11,5.0,4
《慕色》投影～万达城～融创城主题乐园,165,近万达城地铁站,17,4.8,2
梦想一号/万象城/奥体中心/天珑／天鹅湖复式四室二厅/可住7人／商务聚会／主播直播／生日派对／婚房／,414,近政务文化新区,21,4.8,7
云居·了凡【政务区／中式禅意／汉服试穿/万达繁华商业圈/天鹅湖湖景/地铁三号线/大屏投影/靠高架】,193,None,1,5.0,2
【焦糖】全屋整装‖独立大跨度专业化妆空间‖1秒热水沐浴喷淋系统‖三号线四泉桥地铁口100米‖中澳学院,261,None,37,5.0,4
一地故乡/日式简约/特价/近1912/合肥西站对面,118,None,2,4.2,2
步行街天真烂漫大床房,78,近明光路地铁站,21,4.8,2
近市中心 高铁站 三室两厅中央空豪华套房,255,近秋浦河路地铁站,45,4.9,6
复式楼北欧风情调大床房,188,近明珠广场,1,5.0,2
【日光倾城】淮河路步行街旁光景温馨一居,188,近四牌楼地铁站,118,4.7,2
《黄房子》北欧Loft/近地铁/融创万达,188,None,4,5.0,2
【偶遇】樱花日式禅意/和服体验/巨屏投影/榻榻米大床/中环城/近正大广场/政务区天鹅湖/合柴打卡点,168,None,3,5.0,2
【路客】暑期|『上善若水』近元一时代广场|近步行街|近逍遥津公园|近合肥火车站|近包公园日式,273,近长淮地铁站,46,4.9,4
【莉莉安】近火车站‖武里山天街‖生态公园,169,None,7,5.0,2
天鹅湖、银泰、百利中心 省立医院南区 经典LOFT 湖景房,265,None,4,4.7,2
加禾民宿-温馨私享私人影院/投影设备,124,None,2,5.0,2
淮河路步行街+四牌楼商圈+省立医院+李鸿章故居+夜景大窗房+复古风格+海底捞+地铁2号线+【2居室】,245,近四牌楼地铁站,21,4.8,4
双床公寓包河区马鞍山路宁国路美食街合工大南区包河万达淮河路步行街落地窗高楼层观景合肥 民宿宝宝熊,151,None,None,None,4
北一环市府广场步行街火车站日系和风大床房,168,近三孝口地铁站,17,4.7,2
[小飞公寓之童话镇]三里庵之心城2号线,363,近三里庵地铁站,6,5.0,4
天鹅湖边地铁口明媚公寓洗衣机冰箱独立卫浴,143,近政务文化新区,16,4.8,2
一支百合公寓合肥南站/中科大/省立儿童医院你的名字日式双床房,147,近秋浦河路地铁站,7,5.0,4
滨湖近1号线地铁口融创水上乐园近融创乐园落地窗日式大床房,219,None,4,4.1,2
月租|周租|发票|『芳华』三室套房\3号线\合肥南站\火车站\万象汇\步行街\1912\之心城\雅思,345,None,3,5.0,5
天鹅湖万达广场波西米亚风超清投影高端大床,214,近西七里塘地铁站,4,5.0,2
『怡居』京商商贸城/安医大四附院雅致一居,129,近瑶海工业区,6,4.8,2
天鹅湖边地铁口明媚公寓洗衣机冰箱独立卫浴,143,近政务文化新区,16,4.8,2
01  万达水上乐园豪华温馨湖景四居套,349,近万达城地铁站,4,4.8,7
【芳华·Youth】中环城CBD/小米智能投屏电视/大学城/明珠广场/海洋公园,197,None,2,4.5,2
近银泰城/天鹅湖/保利mall/ 万象城/百利中心/融创壹号院 温馨私享Loft复式湖景精致大床房,288,None,4,5.0,2
瑶海万达商圈3号线Loft复式可泡澡,188,近东七里地铁站,1,5.0,2
摩登时代（现代轻奢复式公寓大床房）,155,近明珠广场,12,4.9,2
博物馆新馆/地质博物馆/MAG环球魔幻世界/天鹅湖万达广场/银泰城/复式LOFT大两居,257,None,2,4.5,4
瑶海万达双人公寓景观房,142,近漕冲地铁站,7,5.0,4
皖·遇『伍筑』大投影私人影院，地铁口旁,196,近十里庙地铁站,13,4.7,2
【七野】合肥南站绿地赢海和地广场罍街投影大三居套房,448,None,3,5.0,6
《慕林杉》1居步行街包公祠万达省立医院,176,近四牌楼地铁站,9,4.6,2
温馨浪漫房,186,近朱岗地铁站,151,4.8,2
【千与千寻】京商商贸城/日式轻雅一居,198,近瑶海工业区,1,5.0,2
政务区1912｜浮世居-新西兰｜纯净空间,165,近西七里塘地铁站,32,5.0,2
行知学校 地铁口 清新INS风近地铁2号线近商圈,156,None,3,5.0,2
【桥野•溶洞风Ⅱ】超大投影/溶洞极简风/罍街/高铁南站/大宁缤购广场/合工大,181,None,2,5.0,2
合肥栖居酒店高新技术开发区/大蜀山国家森林公园/创新产业园温馨大床房,119,None,3,5.0,2
【澜物语】近万象汇/华孚城隍庙/地铁口/大投影/日系精致一居,158,None,11,4.8,2
一地故乡/潮汐/大床房近医院近大学/近1912/合肥西站对面,135,None,3,5.0,2
一四二八/金大地时代天街/明珠广场/可洗衣做饭/独享loft/巨幕投影/大学城/正大广场/百乐门,153,None,None,None,2
《静香》2号线省立医院步行街银泰温馨私享投影可做饭,193,近四牌楼地铁站,10,4.6,2
银泰/天鹅湖/万达/万象城/复式高端公寓,283,近五里墩地铁站,33,4.9,2
政务文化新区万象城/天鹅湖/银泰/新城国际/省立南区/超美湖景 ,251,None,5,4.9,2
潮宿酒店(合肥步行街店)淮河路步行街/银泰中心/李鸿章故居浴缸大床房,115,None,2,4.9,2
之心城附近地铁2号线环球金融广场阳光大床,189,近安农大地铁站,12,5.0,2
然而你好近Loft波西米亚复式大客厅，近大学，近医院，近大运城，商场，周谷堆。文博城，建材市场。,152,None,2,5.0,4
大学城翡翠湖M.ting美式小宅,169,近大学城/翡翠湖/中环城,4,4.8,2
双电脑超大屏幕|厨具齐可做饭|55寸电视,174,近滨湖会展中心地铁站,4,4.6,2
【Happy Bear】中环城CBD/超大抱抱熊/表白浪漫基地/明珠广场/海洋公园,166,None,1,5.0,2
【美芥】静 ——工业风 3号地铁口 近商圈 吃喝玩乐一体 每客消毒 超大公区健身房可免费使用,138,近合肥经济技术开发区,3,4.7,2
天鹅湖临湖挑高落地窗高端公寓北欧现代复式,302,近五里墩地铁站,17,4.9,4
【路客】暑期|『伊人』|稻香楼站3分钟|安医附院|近老报馆|安徽公寓|国购之心城『2居』花园,322,近安农大地铁站,36,4.7,4
鑫苑（温馨大床房附中式小院）长短租皆可,278,None,2,5.0,2
婚纱 汉服拍照基地 近1号线地铁 会展中心 高铁南站 网红打卡拍照  可做饭洗衣服 世纪金源购物中心,160,None,1,5.0,2
【痴绝梦】1912/中式两居/汉服美拍,238,近十里庙地铁站,10,4.9,4
天鹅湖/万达广场/艾菲尔情侣之夜大床房,226,近西七里塘地铁站,13,4.8,2
扶风岭（智能AI影院大床房）,199,None,3,5.0,2
政务壹号院 MUJI日式大床房 Loft复式,474,None,1,5.0,2
【萌宠回家】四泉桥地铁口‖万象汇‖郎峰国际‖网红风‖全景落地窗‖瀑布投影‖同层三套，同租可住六人,171,None,5,5.0,2
火车站、汽车总站附近【拉爵精品公寓】,125,近东五里井地铁站,8,4.9,2
【美芥】近3号线 近商圈 北欧风 温馨小屋 每客消毒 室内家具配套齐全,159,None,2,5.0,2
栖岸夕云 安农大地铁近之心城国购庭院投影2居,298,None,2,5.0,4
栖岸夕云 安农大地铁近之心城国购庭院投影2居,298,None,2,5.0,4
『晴天』南站儿童医院科大漫乐城北欧大床房,218,近朱岗地铁站,1,5.0,2
【丽呈】合肥兰花丽呈酒店1912酒吧街/西七里塘/黄山路商业区兰花舒适大床房,308,近五里墩地铁站,884,4.9,2
【渡尧-木兰春晓】瑶海万达/万达金街/轻奢风/超大空间/近地铁口/大屏高清电视,134,None,None,None,2
『THESKY·春山』新！宜家风近中环城大学城翡翠湖明珠广场星达城万象城合柴1972地铁3线繁华大道,162,None,2,5.0,2
简约风两居,128,None,4,4.7,3
ins风近万达商圈、近地铁2号线,136,None,4,4.8,2
【睿柏】睿柏·云酒店(合肥1912高新区国轩高科店)高新技术开发区大床房B,100,None,2,5.0,1
安徽大学易居单身贵族公寓,110,近五里墩地铁站,1,5.0,2
合肥南站浅时光等风来大床房,108,近南站南广场地铁站,1,4.0,2
近步行街|小米电器|宜家家具|合肥南站,174,近秋浦河路地铁站,67,4.9,2
合肥美汐酒店式公寓包河区政府/包河工业园尊享豪华大床房,146,近高王地铁站,53,5.0,2
