民宿标题,价格,地利,评论数,得分,适合居住人数
近商圈东站地铁西湖私享Loft复式双大床,348,None,26,4.8,4
拾玖【金地广场2床】2号线地铁口复式公寓,232,近金家渡地铁站,119,4.8,3
【安心住】西湖/西溪/浙大北欧3床LOF,460,近丰潭路地铁站,412,4.8,6
（繁花里）热气球时尚轰趴带棋牌泳池KTV别墅,2629,None,36,4.9,12
丛林秘境 杭州东站-15分钟直达西湖 ,334,近彭埠地铁站,177,4.9,4
千岛湖北欧ins风全景湖景房,311,近东南湖区,92,4.9,2
西湖边别墅单间，浙大黄龙商圈临灵隐断桥,249,近武林门地铁站,24,4.8,2
【北欧浪漫】临平地铁旁，直达西湖，火车站,236,近临平地铁站,77,4.8,2
【西湖边幸福之家】西湖音乐喷泉雷峰塔灵隐寺湖滨银泰龙翔桥吴山夜市地铁省妇保省中医河坊街loft双床房,477,近龙翔桥地铁站,377,4.8,4
【觅夏】千岛湖桐庐轰趴聚会团建ins风粉色别墅(雅鲁山湾湾虎啸峡天子地紫龙峡漂流),2669,None,47,5.0,16
近西湖/免费早餐青芝坞法式做旧夏栀大床房,241,近古翠路地铁站,476,4.8,2
【西湖边幸福之家】西湖音乐喷泉*湖滨银泰in77* 龙翔桥地铁*机场大巴*妇保市一*吴山夜市*河坊街,351,近龙翔桥地铁站,310,4.8,2
郎山小院 独栋别墅度假 聚会 采摘 烧烤,2449,None,26,5.0,12
"
享寓情侣大床房（五号地铁口，西溪湿地国家公园，运河渡口，饮食娱乐购物一体的商场）",199,None,26,5.0,2
【西湖边幸福之家】近音乐喷泉*龙翔桥*湖滨银泰*妇保中医市一吴山夜市河坊街机场大巴武林夜市豪华双床房,471,近龙翔桥地铁站,126,4.8,4
（繁花里）热气球时尚轰趴带棋牌泳池KTV别墅,2629,None,36,4.9,12
朝南大阳台洗衣机西溪湿地 灵隐寺 西湖,214,近西溪湿地,32,4.9,2
【安心住】西湖/西溪/浙大北欧3床LOF,460,近丰潭路地铁站,412,4.8,6
西湖边别墅单间，浙大黄龙商圈临灵隐断桥,249,近武林门地铁站,24,4.8,2
近商圈-东站-双地铁-优享Loft复式大床房,287,None,7,5.0,2
拾玖·近西溪西湖/银泰/大悦城/黄龙3床,308,近丰潭路地铁站,55,4.9,6
【觅夏】千岛湖桐庐轰趴聚会团建ins风粉色别墅(雅鲁山湾湾虎啸峡天子地紫龙峡漂流),2669,None,47,5.0,16
INS西湖景区、青芝坞内阿乌卡民宿 花开大床房,189,近古翠路地铁站,33,4.8,2
【别样】午后杯茶·花园阳台1.5双床房,351,近古翠路地铁站,8,4.9,4
郎山小院 独栋别墅度假 聚会 采摘 烧烤,2449,None,26,5.0,12
【掌宿 · 雷峰夕照】日式榻榻/楼下就是南宋御街/私人影院/落地窗/杭州南宋御街就在楼下/五柳巷,555,None,65,4.7,6
优屋美宿西溪八方城 LOFT豪华双卧套房,310,近文新地铁站,110,4.8,3
(繁花里)千岛湖热气球•卡丁车•啤酒小镇•漂流•水世界•游艇—时尚五居度假别墅(棋牌，KTV，烧烤),2199,None,1,5.0,10
【云朵•Loft温馨大床房】近2号线  近浙大紫金港校区Loft复式北欧风,263,None,9,5.0,2
【白芍】楼下即西湖银泰城.地铁口|南宋御街.河坊街.鼓楼.吴山景区.中国美术学院.西湖.in77湖,271,近定安路地铁站,7,4.9,2
（繁花里）热气球时尚轰趴带棋牌泳池KTV别墅,2629,None,36,4.9,12
杭州河坊街单人间/鼓楼南宋御街/近西湖,165,近定安路地铁站,576,4.9,1
杭州火车东站旁300米高端现代清新风格,268,近火车东站地铁站,46,4.9,2
西湖边别墅单间，浙大黄龙商圈临灵隐断桥,249,近武林门地铁站,24,4.8,2
火车东站地铁直达西湖景区loft套房,290,近彭埠地铁站,13,4.9,4
Loft180度大落地窗江景房网红公寓奥体中心近西湖地铁,458,近江陵路地铁站,867,5.0,2
【觅夏】千岛湖桐庐轰趴聚会团建ins风粉色别墅(雅鲁山湾湾虎啸峡天子地紫龙峡漂流),2669,None,47,5.0,16
西湖湖滨商圈*温馨特色复式双床房,417,近龙翔桥地铁站,1001,4.9,4
壹家墅.特优双床LOFT.非接触入住.近西湖.动物园.滨江儿保.宝龙城.联庄地铁站,498,近联庄地铁站,1143,4.9,4
郎山小院 独栋别墅度假 聚会 采摘 烧烤,2449,None,26,5.0,12
【西湖边幸福之家】西湖音乐喷泉雷峰塔灵隐寺湖滨银泰龙翔桥吴山夜市地铁省妇保省中医河坊街loft双床房,477,近龙翔桥地铁站,377,4.8,4
湘湖海洋极地馆杭州乐园两居豪华大床地铁口,318,近曹家桥地铁站,64,5.0,4
(繁花里)千岛湖热气球•卡丁车•啤酒小镇•漂流•水世界•游艇—时尚五居度假别墅(棋牌，KTV，烧烤),2199,None,1,5.0,10
忆家公寓阿里西溪园区海创园梦想小镇杭师大复式清新大床房,298,近西溪湿地,70,5.0,2
归享公寓大床房（杭州西溪湿地商圈龙湖天街店地铁5号线蒋村路站）,212,None,4,4.7,2
（繁花里）热气球时尚轰趴带棋牌泳池KTV别墅,2629,None,36,4.9,12
安心住紫金港校区旁北欧风巨投影榻榻米大床,216,近三墩地铁站,54,4.9,2
城西银泰商场旁边/三床复式双层房/地铁五号线萍水站/近西湖西溪湿地、浙大、商场/做饭停车/免费寄存,328,近古翠路地铁站,417,4.8,6
西湖边别墅单间，浙大黄龙商圈临灵隐断桥,249,近武林门地铁站,24,4.8,2
典家精品酒店(杭州河坊街店)西湖湖滨商圈特价单人间,152,近定安路地铁站,490,4.9,1
朴舍【锦瑟】150寸投影 地铁口 浙大旁,268,近虾龙圩地铁站,120,4.7,2
【觅夏】千岛湖桐庐轰趴聚会团建ins风粉色别墅(雅鲁山湾湾虎啸峡天子地紫龙峡漂流),2669,None,47,5.0,16
水果糖/Loft轻奢北欧巨屏投影ins,304,None,50,4.8,2
【可一室可二室】杭州东站彭埠地铁口直达西湖投影大床房,245,近彭埠地铁站,62,4.7,2
【绿野仙踪】每客消毒|步行宋城|西湖区|摩洛哥风格LOFT|中国美术学院|免费停车|设计师民宿,285,None,9,4.7,2
日式榻榻米巨幕影院房/市中心/地铁口,308,近闸弄口地铁站,4,4.7,2
宗书家/和达城  地铁口/豪华大床房,156,近文泽路地铁站,93,4.8,2
精品商务大床房（地铁5号线聚才路站）,264,None,12,5.0,2
铂寓小窝  5号线2号线  可月租  可长租,162,None,1,5.0,2
【不见川·黛】富春江景房码头桐君山老街,214,None,16,4.9,2
西溪 灵隐 西湖 双子座R7极简大床房,210,近丰潭路地铁站,21,4.6,2
优屋美宿西溪八方城 LOFT高级双卧套房,294,近文新地铁站,114,4.7,3
【奇妙屋】奶油-近西湖/武林广场/全景落地窗/法式文艺/弧形巨幕投影一居,379,近武林广场地铁站,10,4.7,2
近西湖湖滨庆春浙一医院-蜂窝智能大床,294,近中河北路地铁站,2,5.0,2
安心住紫金港校区旁北欧风投影无接触入住,182,近三墩地铁站,56,5.0,2
【有家民宿】@悦居@投影房千岛湖湖景 两居室 独立阳台,331,None,52,5.0,4
灵隐寺西溪湿地黄龙汽车西站厨房阳台大床房,214,近丰潭路地铁站,69,4.9,2
已消毒近杭州东站舒适大床投影地铁西湖直达,239,近闸弄口地铁站,12,4.9,2
长住特惠～【波西米亚狂想曲】独享河坊街旁浪漫一居,240,近城站地铁站,23,4.9,2
栖霞小筑，苏堤春晓,182,近武林门地铁站,28,4.7,2
西湖火车东站地铁口MUJI日式影房,426,近彭埠地铁站,166,4.8,4
优屋美宿 火车东站克拉天玺 豪华大床,269,近火车东站地铁站,238,4.7,2
湖宿『pink』OT酒吧||大麦66||新天地购物中心||太阳剧院||中大银泰||简约loft |,285,None,3,5.0,2
【咕•居】 网红ins•白岛•火车南站•近地铁5号线•近商业城•北山山脚•萧山博物馆,214,None,9,4.9,2
