民宿标题,价格,地利,评论数,得分,适合居住人数
可月租云栖近万达/南亚风情街G公寓大床房,136,近昆明火车站地铁站,140,4.6,2
#51KohKong北欧Mini大床房,110,None,2,5.0,2
【见南山民宿】庭院景观双床房（含早+24H长水机场免费接送）,273,None,50,4.9,3
海埂滇池/阳光海岸别墅/海鸥/前花园大床,183,近西山公园地铁站,69,4.9,2
情侣主题·浪漫圆床房·近恒隆广场·地铁口·医院·南屏街·浪漫布置,144,None,176,5.0,2
【见南山民宿】竹韵大床房（含早+24H长水机场免费接送）,230,None,59,5.0,2
清新loft复式带冰箱洗衣机可做饭家庭房,134,近五一路地铁站,2,5.0,2
24小时免费接送长水机场大板桥地铁站尊享双床房,118,None,50,4.8,2
【见南山民宿】楸木阳台双床房（含早+24H长水机场免费接送）,316,None,35,5.0,3
【小城巷寓】大床间·LOFT复式·轻奢北欧风·4号线·近商圈·近大学,142,None,70,5.0,2
【留白】市中心 穿心鼓楼地铁口 恒隆广场 红会医院 翠湖 100寸投影 北欧清新大床房,147,近穿心鼓楼地铁站,50,4.7,2
昆明见南山民宿—竹韵（含早+24H长水机场免费接送）,279,None,144,4.9,3
高铁站免费接送朵云公寓大床房,93,近谊康南路地铁站,232,4.8,2
【小城巷寓】轻奢大床房•近万达/南亚风情/昆明站•厨房•麻将•健身,141,None,235,5.0,2
昆明见南山民宿—思竹（含早+24H长水机场免费接送）,279,None,130,5.0,2
【叙旧】市中心 穿心鼓楼地铁口 同德广场 恒隆广场 红会医院 翠湖 复古格调大床房,140,近穿心鼓楼地铁站,55,4.5,2
南屏街顺城王府井百货楼上高端商圈日式清新风大床房,123,None,9,3.9,2
【见南山民宿】庭院景观双床房（含早+24H长水机场免费接送）,273,None,50,4.9,3
实力心城景观loft/春融街地铁/高铁昆明南站/斗南/七彩云南/欢乐城/大学城/滇池湿地公园,176,None,4,4.9,2
昆明火车站/大理丽江高铁/机场大巴大悦城,156,近昆明火车站地铁站,210,4.9,2
万爱公寓·情侣主题圆床房·南屏街上·近3号地铁口·浪漫布置,163,None,130,5.0,2
【青春加油栈】精装温馨loft公寓,151,近春融街地铁站,41,4.9,2
【瓶子里的书】近3号线/电热毯/近商圈/投影/近西山/可做饭/独立公寓,138,None,1,5.0,2
一城e居.素彦 地铁站旁复式双床房,196,近市体育馆地铁站,27,4.9,4
南屏步行街超大景观挑高公寓,158,近五一路地铁站,29,4.8,2
近地铁商圈自助入住‖落地窗‖投影‖禅意‖可做饭‖原木简约风,165,None,4,5.0,2
【猫咪2】市中心 穿心鼓楼地铁口 恒隆广场 红会医院 翠湖 空调 100寸投影 大床房,168,近穿心鼓楼地铁站,21,4.5,2
【城宿5号】市中心翠湖南屏街地铁口金马坊滇池蜗居房,132,None,18,4.6,2
大悦城南亚可乐公寓有冰箱厨具齐全免费做饭,173,近五一路地铁站,179,5.0,2
【慢生活·纳多灰】火车站旁300米/近大悦城市中心/网红ins景观空调大床房,171,None,11,5.0,2
近南站可接送-星爸爸咖啡红酒电影主题公寓（注：星巴克天天免费送～）,162,None,23,5.0,2
如家小憩/近四号线落地窗LOFT/独立双卧,245,近昌源中路地铁站,90,5.0,4
