民宿标题,价格,地利,评论数,得分,适合居住人数
【尾巴高端综合民宿】投影~游戏机~书籍~南京南站@毗邻夫子庙/新街口/老门东/地铁口3线,295,None,36,4.8,4
南京南站夫子庙卡子门地铁4人家庭游双大床,183,近卡子门地铁站,14,4.8,4
1【清风小筑】夫子庙•秦淮河• 总统府 •新街口•地铁3号线口100米•低楼层精装两房可住1～6人,228,近夫子庙地铁站,187,5.0,6
近南京南站 超大落地窗夜晚观景,172,None,12,4.5,2
每日消毒中山陵南京站仙林大学城网红民宿,119,近仙林中心地铁站,82,4.8,2
舒沁2·夫子庙景区·双地铁·精品两室,421,近夫子庙地铁站,84,4.9,4
【橙子•日幕里】弘阳广场巨幕投屏大床房,114,None,16,5.0,2
【美宿 夜泊秦淮】六朝夫子庙地铁站零接触,198,近夫子庙地铁站,10,4.9,2
ins风【清风小筑】夫子庙•秦淮河• 总统府 •中山陵•新街口•地铁3号线口• 可住1～ 8人,316,None,34,5.0,8
老山/工业大学/警官学院/夫子庙/新街口,193,近南京工业大学地铁站,22,4.9,4
每日消毒夫子庙老门东武定门地铁口网红大床,189,近武定门地铁站,49,4.8,2
【秦淮风情】夫子庙景区秦淮河独享河景房,638,近夫子庙地铁站,82,4.8,6
流金岁月『MUJI风』日式大床房 • 雨花客厅•南京南站•奥体•新街口,166,近天隆寺地铁站,83,4.7,2
新街口双地铁商圈Loft大客厅@天空之城,214,None,13,5.0,4
【南京南站】已消毒/近高铁站/商务大床房/可做饭,171,None,158,4.9,2
【南京南站】高铁站旁/近夫子庙家庭影音房/可做饭,188,None,15,4.6,3
【观玄武湖景IMAX】星野日式町屋,207,近南京林业大学·新庄地铁站,56,4.5,2
1【清风小筑】夫子庙•秦淮河• 总统府 •新街口•地铁3号线口100米•低楼层精装两房可住1～6人,228,近夫子庙地铁站,187,5.0,6
纪宿【花恋】步行地铁/近南站/近新街口,253,近大明路地铁站,14,4.9,6
近南京站，玄武湖公园，地铁1号线新模范马路步行200米,136,None,None,None,2
近南京站 新街口 玄武湖 夫子庙 舒适大,168,None,1,2.7,2
【白茶清欢】秦淮河夫子庙瞻园路两居室,246,近夫子庙地铁站,3,5.0,4
【花开半夏·柒】可短租/地铁/投影仪/南京南站,150,近花神庙地铁站,17,4.8,2
「已消毒」S8线北欧清新高清智能投影房,179,近泰山新村地铁站,103,4.9,2
『原木 · 小西几』新街口，近德基 | IMAX巨幕电影院 | 网红狮子玩偶，拍照大床房,238,None,10,4.9,2
Bilin南京南站地铁夫子庙老门东ins,222,近明发广场地铁站,26,4.9,4
零压精致大床房丶苏宁/途牛/徐庄软件园,140,近苏宁总部·徐庄地铁站,38,4.9,2
半宅·梦露|地铁3号线|夫子庙老门东新街口|IMAX巨幕私人影院|繁华市里新街口太平商场水游城|,268,None,12,4.9,2
夫子庙景区离新街口仅一步之遥精装两房,318,近夫子庙地铁站,109,4.9,4
