民宿标题,价格,地利,评论数,得分,适合居住人数
青岛倾城主题民宿青岛火车站/栈桥/中山路劈柴院栈桥海景大床房,255,近青岛站地铁站,6,5.0,2
青岛金沙滩海之家海景公寓 步行三分钟到海,870,None,479,4.9,5
 栈桥火车站大床 loft落地窗看海 ,540,近青岛站地铁站,248,4.9,2
町说·宠爱 近金沙滩/啤酒节/百寸投影,525,近井冈山路地铁站,95,4.8,4
火车站栈桥海景家庭房,496,近青岛站地铁站,141,4.8,3
观海大银幕叁号180°海景八大关海水浴场,1035,近汇泉广场地铁站,44,4.5,4
栈桥火车站三床 loft落地窗看海 ,825,近青岛站地铁站,83,4.8,6
【青岛御海】中联自由港湾温馨景观大床房,516,近青岛站地铁站,87,4.9,2
【栈桥火车站】清新海景大床房,540,近青岛站地铁站,182,4.9,2
【特惠大床房】朴宿微澜（中联自由港湾、火车站、栈桥店）落地窗,347,None,62,5.0,2
【海角仙踪】 超赞金沙滩loft公寓/超大落地窗/美食街/双卫/极速光纤/免费停车位,457,None,8,4.4,4
青岛鑫海假日民宿青岛火车站/栈桥/中山路劈柴院家庭房,273,近青岛站地铁站,3,4.9,3
海俪舍海景大床房 近栈桥火车站中山路,510,近青岛站地铁站,460,4.9,2
落地大窗家庭3人间,499,近青岛站地铁站,131,4.8,3
青岛金沙滩爱之旅精装海景二居公寓,760,None,61,4.5,4
海俪舍海景大床房 近栈桥火车站中山路,510,近青岛站地铁站,460,4.9,2
落地大窗家庭3人间,499,近青岛站地铁站,131,4.8,3
青岛金沙滩爱之旅精装海景二居公寓,760,None,61,4.5,4
【豪生(Howard Johnson)】青岛康大豪生大酒店黄岛金沙滩度假区豪华双床房,782,近井冈山路地铁站,13,5.0,1
「崂山景区」独门独院～山中休闲民宿,621,近崂山,44,4.8,7
青岛新贵都民宿五四广场/万象城/奥帆中心/市政府田园家庭套房,517,近浮山所地铁站,14,4.9,4
利源公寓(青岛国信会展中心店)国际会展中心/石老人海水浴场豪华大床房,297,近辽阳东路地铁站,106,4.7,2
景天原海  小清新 唐岛湾海景公寓,468,近积米崖地铁站,4,5.0,2
 金沙滩2分钟到海边三居室,888,None,137,5.0,7
