民宿标题,价格,地利,评论数,得分,适合居住人数
登巴民宿(深圳会展中心店)皇岗口岸/福田口岸雅致大床房,194,近福民地铁站,40,4.1,2
较场尾【一二里】海边温馨可爱特色房,171,近较场尾/大鹏所城,25,4.9,2
花园亲子泡浴房,312,近较场尾/大鹏所城,92,5.0,3
【沉香】地王大厦/高层轻奢一居室/近地铁,238,近老街地铁站,32,4.8,2
慢时光/南澳大鹏180度沙滩海景房 门口是沙滩 情侣 亲子 团建 垂钓 麻将 聚会  休闲 面海,698,None,31,5.0,6
阳光大床房 落地窗,320,近较场尾/大鹏所城,107,4.9,2
深圳大鹏较场尾原木国风民宿大床度假公寓,212,近较场尾/大鹏所城,21,4.7,2
较场尾西拉法叶情侣家庭单人床（近海5米）,238,近较场尾/大鹏所城,46,4.9,2
大鹏所城较场尾简爱精品客舍特色双床房,188,近较场尾/大鹏所城,40,4.9,2
深圳海琴湾精品酒店深圳北站地区尊享智能大床房,255,近红山地铁站,10,5.0,2
「骏庭公寓-24小时前台」两房一厅复式套房&近地铁1号线&可加购自助早餐&免费停车&健身房轻奢简约风,368,None,18,4.7,3
花园亲子大双床房,360,近较场尾/大鹏所城,20,4.9,3
港式随选房【有阳台】,164,None,None,None,2
[悠居]3号线爱联站/投影仪/情侣大单间/落地窗/可洗衣做饭,174,None,3,4.8,2
【画家】复古艺术风Loft青奢投影大三居,398,近深圳北站地铁站,23,4.8,6
近国际会展中心行政大床房温馨私享,151,None,2,5.0,2
深圳南海台商务酒店科技园巨幕影院房(无窗),172,近大新地铁站,17,4.6,2
花园亲子泡浴房,312,近较场尾/大鹏所城,92,5.0,3
车公庙下沙地铁口/阳光充沛 高层电梯房,196,近下沙地铁站,12,4.6,2
可月租|龙溪花园合租独立一间1.5m床|预定提前告知|香蜜湖片区|近地铁|农林站|学校周边,174,近农林地铁站,5,5.0,2
国贸，万象城LV 附近 榻榻米大床房,200,近鹿丹村地铁站,20,4.8,2
【面包树民宿】异域风情·大床房|较场尾,280,近较场尾/大鹏所城,389,5.0,2
西涌沙滩顶楼豪华真皮大床房带花园,154,近东涌/西涌,2,5.0,2
206榻榻米大床房\智能电视投屏\囍鹊民宿\法式浪漫\大鹏所城 较场尾\古城东门外 P4停车场C区,196,近较场尾/大鹏所城,3,4.6,2
凤凰印象公寓(深圳罗湖万象城店)万象城/京基100欧式豪华大床房,287,近大剧院地铁站,631,4.8,2
麻将影厅桌游——深圳北站楼下九方/6979/天虹购物中心直达会展中心,639,近红山地铁站,113,4.8,9
【大梅沙望海】180度全海景怀旧大床房,294,近大小梅沙/东部华侨城,18,4.5,2
近深圳北/CBD黄金区域/ins北欧风/,461,近龙华地铁站,1,5.0,6
前海 轻奢两居公寓 大露台 可聚会,276,近洪浪北地铁站,26,4.8,5
可月租/会展中心、购物公园温馨投影房整租,210,近皇岗村地铁站,1,5.0,2
