民宿标题,价格,地利,评论数,得分,适合居住人数
乐嗨·苏格 地铁口投影仪北欧风Loft。近火车站，万达地铁直达山塘街，平江路各大景点多套房源随机安排,222,None,100,4.8,2
火车站、拙政园、博览中心（新日式商旅房）,215,近平河路地铁站,115,4.9,4
缥缈·山舍里(私家泳池) 山景落地窗大床房.,436,None,44,5.0,2
【朴宿】平江路|火车站|拙政园|观前街|地铁口|ins风|带窗|,201,近察院场地铁站,374,4.8,2
城遇·影音 地铁步行200米|可做饭|高层全景落地窗|古城区夜景|火车站地铁2站路|拙政园｜山塘街,222,近平泷路东地铁站,1117,4.9,2
万达近拙政园狮子林虎丘留园火车站轻奢房,238,近平泷路东地铁站,32,5.0,4
同里古镇内/阳光清新大床房/享古镇六折门票,127,近同里站地铁站,884,4.9,2
【秋天童话】大落地窗小清新 地铁口200米 万达200米 近苏州站+观前街+博物馆+拙政园+山塘街,204,近平泷路东地铁站,198,4.9,2
火车站影院房2近拙政园狮子林观前街留园,228,近苏州火车站地铁站,32,4.7,2
恬舍小楼北，苏式家庭房，适合2到3人，与悠久的古城区只隔了一条护城河,165,近平河路地铁站,35,4.9,3
苏州平江路苏式庭院风民宿。1.5m精致明窗大床房。拙政园。观前。苏州博物馆。耦园。5分钟走程,165,None,6,3.9,2
缥缈·山舍里(私家泳池)山景双床榻榻米房,518,None,12,5.0,4
苏州姑苏区尚优快捷民宿观前街/平江路/十全街/市中心大床房,135,近临顿路地铁站,4,5.0,2
浅梦之家,186,近平河路地铁站,23,4.8,2
【自在山间】苏州太湖西山林屋洞梅园|Loft双层庭院阳台双大床房,527,None,12,4.9,4
寻宿&尔我 浪漫圆床 平江路 拙政园 ,230,近平泷路东地铁站,31,4.8,2
＜问梅3＞免费停车\九宫格早餐\出门200米平江路\拙政园\狮子林\苏州博物馆\火车站\地铁站,318,None,6,5.0,4
缥缈·山舍里(私家泳池) 山景落地窗大床房.,436,None,44,5.0,2
［优质房源］地铁口万达旁近景区美屋带厨房,210,近平泷路西地铁站,1141,5.0,2
步行平江路，拙政园，狮子林仅十几分钟独栋,384,近相门地铁站,3,4.9,10
平江路，观前街，拙政园2-3分钟【之间】,209,近相门地铁站,36,4.5,3
乐嗨·秋词 火车站附近温馨大床房带观影室地铁直达山塘街，观前街，博物馆，拙政园等各大景点 近万达广场,196,None,20,4.9,2
平江路千遇千寻*半夏花开小居1有窗【0元停车-可常租】,182,近相门地铁站,94,4.5,2
山塘街/ 石路商圈--古城门文化民宿--苏韵大床房,175,None,63,4.6,2
近观前街/平江路/苏州园林 地铁口 复式挑高2层投影房,328,近团结桥地铁站,423,4.9,2
苏州甜蜜花园•拙政园.平江路旁(光-好）,262,近相门地铁站,5,4.8,2
苏州平江路千遇千寻·青鸟与诗大床无窗,151,近相门地铁站,66,4.7,2
【自然小屋】姑苏市区/环境清净/观前街/平江路/拙政园/苏州站/地铁站,170,None,2,5.0,2
苏州华朗轻居酒店苏州火车站地区轻居大床房,123,近平河路地铁站,21,4.8,2
水梦阁露台临河大床房周庄古镇水月黄昏民宿,158,近周庄古镇内,97,4.9,2
【白筑北楼单间4】 近苏州博物馆 拙政园,147,近平河路地铁站,11,4.8,1
近地铁近商圈近观前街拙政园博物馆,161,None,33,4.9,2
