民宿标题,价格,地利,评论数,得分,适合居住人数
天津站/天津之眼/大悦城古文化街+双地铁,244,近东南角地铁站,585,4.9,2
温馨湾LOFT全海景私家公馆/聚会/轰趴,388,近泰达地铁站,112,4.9,4
天津站/天津之眼/大悦城/特惠大床/随机房型,216,近东南角地铁站,30,4.6,2
5暖窝公寓loft复式海河教育园/永旺/,193,近李楼地铁站,7,4.9,2
豪华温泉超大落地窗海景房,223,近市民广场地铁站,104,4.8,3
北欧风格阳光房,264,近和平路地铁站,174,4.9,2
【精选🔥】滨江道繁华都市里的四人大套房,288,近和平路地铁站,47,4.9,4
落地窗巨幕投影/市中心/南市食品街,247,近东南角地铁站,60,4.9,2
海河景观大床房,223,近东兴路地铁站,16,5.0,2
天津青居尚品酒店式公寓塘沽商业中心区青居雅致大床房,132,None,23,5.0,2
聚美精品公寓(天津站店)天津站/古文化街/意大利风情区精品情侣主题房,132,近靖江路地铁站,21,4.1,2
欧式田园阳光3人间（标准间）,376,近和平路地铁站,36,5.0,3
藤朴舍【MIMI民宿·YouSu 运营】全程无接触入住【鼓楼·天津之眼】,208,None,5,4.6,2
【金魅】天津站/滨江道清新loft两居,321,近远洋国际中心地铁站,69,4.9,4
海河景观120寸家庭影院大床房,285,近东兴路地铁站,1,5.0,2
天津站200米超大落地窗城市观景LOFT,228,近天津站地铁站,53,4.7,2
长租特惠【滨海国际机场】荣荣家投影大床房,156,近空港经济区地铁站,33,4.9,2
天津站/天津之眼/大悦城古文化街+双地铁,244,近东南角地铁站,585,4.9,2
【九国 艺术】GREEN绿- 英式百年老房/五大道景区内/临民园广场/纪念碑谷风格/摄影民宿,190,None,5,4.9,2
确保安全洁净您的选择,147,近中山门地铁站,133,4.7,2
[FREE初见]天津之眼/俯瞰整个天津之眼/步行5分钟海河/古文化街鼓楼/可长租/近商圈/ins风,245,近西北角地铁站,6,5.0,3
【芒果爱榴莲】～【追影凡梦】佛罗伦萨小镇（武清高铁站）一室影院主题公寓,178,None,7,5.0,2
【九国•百年】诺曼底-幔居/英式百年老房,190,近营口道地铁站,1,5.0,2
【木子李】西式日式融合风情｜欢乐谷｜东丽湖｜恒大温泉｜滨海国际机场,268,None,14,5.0,4
