民宿标题,价格,地利,评论数,得分,适合居住人数
汉口江滩简约双床房,117,近江汉路地铁站,20,4.6,2
【孟夏】 投影/近地铁/金银潭永旺/常青花园/海洋世界/轻工大学/汉口火车站/天河机场/金银湖公园,158,None,1,5.0,2
光谷/杨家湾地铁口&阳光吊篮大床房,148,近杨家湾地铁站,45,4.9,2
国博地铁旁60平美式巨幕影院今日已消毒 下午两点退房,192,近前进村地铁站,121,4.9,2
【往日】轻奢法式loft/落地窗/湖景房,230,近螃蟹岬地铁站,1,5.0,4
斑个马民宿 中南财经政法大学 近光谷 ,112,近杨家湾地铁站,9,4.8,2
【严格消毒】特惠房/落地窗/开业亏本做人气/,155,None,83,4.9,2
光谷广场/地铁口/安迪公主现代简约大床房,102,近光谷广场地铁站,30,5.0,2
【严格消毒】「泡泡」吉庆街/黎黄陂路/江汉路/投影,173,近大智路地铁站,16,4.4,2
美宿】光谷\K11\软件园\清新少女一居,177,近光谷广场地铁站,67,4.9,2
【徐东·标准loft】近地铁/沃尔玛/销品茂/湖北大学/群星城/新世界百货/长江二桥风景区,122,近徐东路地铁站,18,4.2,2
武汉Lavie朴宿公寓街道口/武汉大学/南湖雪霁投影大床房,148,近湖工大地铁站,3,4.7,2
DownyRoom 真浴缸/4k高清影院/摄影家/3小时/地铁口/盒马/菱角湖万达/汉口站,211,近唐家墩地铁站,53,5.0,2
【随遇】轻奢北欧风/光谷广场/地铁口,278,近珞雄路地铁站,40,4.5,4
[严格消毒]日式樱花树下榻榻米 1080P投影影院房 （步行户部巷、黄鹤楼、长江大桥、昙华林、江滩）,94,None,38,4.4,2
sunday/波西米亚/民大/保利/光谷,164,None,12,4.0,2
武汉天河机场直达2号线/汉口火车站.,108,近宋家岗地铁站,12,4.9,3
光谷/杨家湾地铁口&阳光吊篮大床房,148,近杨家湾地铁站,45,4.9,2
【莫莫】特价月租投影房近经开万达永旺三号地铁体育中心江汉大学/三角湖外校/协和医院/东风公司东合中心,119,近体育中心地铁站,14,4.8,2
【艾.HOME】高层全落地江景/武汉天地,292,近黄浦路地铁站,23,4.2,2
【随遇】轻奢北欧风/光谷广场/地铁口/华,278,近珞雄路地铁站,101,4.8,4
【Isabellae】市中心湖景房|工业风|ins|超大高清投影|家庭影院|CBD|万松园|江汉路|,238,None,3,4.7,2
短长租月租房近万达三环线协和医院可做饭,124,近体育中心地铁站,10,5.0,2
刀锋英式工业风格 江汉路/循礼门地铁 江汉路江滩公园/吉庆街/万松园美食街/亚洲心脏病医院/协和医院,208,近循礼门地铁站,26,4.9,2
后湖大道消防人家公寓一室,122,近后湖大道地铁站,22,4.9,2
