民宿标题,价格,地利,评论数,得分,适合居住人数
【回民街 钟楼 地铁口】榻榻米家庭间,159,近北大街地铁站,102,4.9,3
一间森林青年旅舍(大雁塔师大店)大雁塔/曲江度假区S-box单人间(无窗)(公共浴室),143,近会展中心地铁站,80,4.9,1
西安宾至钟楼/回民街/地铁口/大唐不夜城/温馨家庭房,336,近钟楼地铁站,959,5.0,4
小雁塔双床四人间,148,近南稍门地铁站,12,4.9,4
【枫之谷】地铁大雁塔城墙博物馆秋千三居室,575,None,41,4.9,6
【天翼】钟鼓楼回民街家庭亲子房可约接送机,373,近钟楼地铁站,1110,5.0,4
近钟鼓楼/回民街/永兴坊/大唐不夜城/可月租/巨幕投影双床四人间,304,None,139,4.9,4
【消毒供暖】钟鼓楼/回民街/市中心/ 近永兴坊/近大唐---双床四人间/可月租,189,近钟楼地铁站,54,4.8,4
钟楼/鼓楼/地铁口/回民街/大唐不夜城/两室一厅套房,452,近钟楼地铁站,921,5.0,4
临近城墙/钟楼回民街/甜系轻奢投影一居室,228,近永宁门地铁站,7,4.9,2
短租更有优惠 点击咨询 楠溪里 经典灰大床房 悦秀城,153,近航天城地铁站,8,5.0,2
西安宾至钟楼/回民街/地铁口/大雁塔/不夜城/大标准间,336,近钟楼地铁站,352,5.0,4
【溪苑】印象城三居/钟鼓楼/地暖/地铁口,452,近龙首原地铁站,391,5.0,6
【秦唐】温馨双床巨幕投影四人间（可开发票可约接送机）近商圈私人影院/投影设备温馨私享温馨私享,331,近钟楼地铁站,1014,5.0,4
【天翼】钟鼓楼现代简约两室套房可约接送机,468,近钟楼地铁站,1094,5.0,4
短租更有优惠 点击咨询 楠溪里 经典灰大床房 悦秀城,153,近航天城地铁站,8,5.0,2
【溪苑】印象城三居/钟鼓楼/地暖/地铁口,452,近龙首原地铁站,391,5.0,6
【天翼】钟鼓楼回民街家庭亲子房可约接送机,373,近钟楼地铁站,1110,5.0,4
『皇城』回民街钟鼓楼地铁口清爽大床房,186,近钟楼地铁站,987,4.9,2
【枫之谷】地铁大雁塔城墙博物馆秋千三居室,575,None,41,4.9,6
【免费停车】近大雁塔  地铁站旁豪华两室,359,近纬一街地铁站,230,4.7,4
钟鼓楼 回民街 钟楼地铁站  大唐不夜城  小寨 巨幕投影双床四人间,267,None,184,5.0,4
优享家庭房（钟楼地铁站）,253,近钟楼地铁站,475,4.9,4
【故事一期】地铁口，钟楼回民街，大唐不夜城，大唐芙蓉园，一房一厅。,195,近龙首原地铁站,157,5.0,2
【福棠雅斋·Hotle公寓】双床房包月/钟楼南门回民街鼓楼城墙不夜城/洗手间在房间门口,246,近永宁门地铁站,48,5.0,3
【悦客】近地铁儿童医院俯瞰城墙钟鼓楼回民街商旅大两居,366,None,61,5.0,4
叙利亚风/超大圆形浴缸/近地铁/投影一居,390,None,5,5.0,2
『皇城』回民街钟鼓楼地铁口清爽家庭房,253,近钟楼地铁站,114,4.9,3
小寨钟楼直达 韦曲南地铁口 西京培华学院,135,近韦曲南地铁站,5,5.0,2
随遇优品/高山流水星座/轻奢风,200,近长乐公园站地铁站,10,5.0,2
『皇城』回民街钟鼓楼清爽三人间,261,近钟楼地铁站,497,4.9,3
钟鼓楼回民街·永宁观澜吊床观景落地窗房,253,近永宁门地铁站,19,5.0,2
『皇城』回民街钟鼓楼地铁口清爽家庭房,253,近钟楼地铁站,114,4.9,3
喜度.慢时光近3号线近商圈,254,None,12,5.0,2
【天翼】钟鼓楼回民街家庭亲子房可约接送机,373,近钟楼地铁站,1110,5.0,4
素璞/钟鼓楼/龙首原地铁口女性空间大床房,205,近龙首原地铁站,118,4.9,2
西安钟鼓楼回民街地铁口升闲艺术民宿~漫生,336,近钟楼地铁站,3,5.0,2
高新友谊西路西工大温馨两室套房,214,近科技路站地铁站,32,4.8,4
纺织城地铁口近唐都医院直达兵马俑钟楼,145,近纺织城地铁站,13,4.8,3
【巷叶雅济】近地铁投影两居室钟鼓楼回民街,398,None,44,4.9,4
复式3D银幕投影大床房,261,近余家寨地铁站,6,4.6,2
「柚朵」Loft复式两室一厅麻将套房地铁9号线近商圈近医院,275,None,6,5.0,4
西安素璞设计师公寓(龙首原地铁站店)北关/龙首村女性空间风格房,160,近龙首原地铁站,12,4.8,2
【知了·无赦】南稍门钟鼓楼、回民街，城隍庙、明城墙、大雁塔、省历史博物馆、、大唐芙蓉园、大唐不夜城,261,None,3,4.8,2
西安忆江南酒店交通大学/兴庆公园零压舒适双床房,213,近咸宁路站地铁站,92,4.8,2
高新友谊西路西工大温馨两室套房,214,近科技路站地铁站,32,4.8,4
纺织城地铁口近唐都医院直达兵马俑钟楼,145,近纺织城地铁站,13,4.8,3
【巷叶雅济】近地铁投影两居室钟鼓楼回民街,398,None,44,4.9,4
