民宿标题,价格,地利,评论数,得分,适合居住人数
帮定船票*送攻略*全景窗设计大床*近曾厝垵厦大鼓浪屿*临海近,195,近将军祠地铁站,5293,5.0,2
纯色大床房/近厦大曾厝垵鼓浪屿,125,近将军祠地铁站,4878,5.0,2
1分钟到海边+免费升级，曾厝垵内，赠送旅拍，近厦大南普陀植物园鼓浪屿等景点,208,近将军祠地铁站,397,4.9,2
【带投影】步行至曾厝垵美食街/环岛路海边/近厦门大学/胡里山炮台/植物园/现代简约大床房,180,None,49,5.0,2
沙滩海景房复试楼中楼,239,None,105,4.9,4
曾厝垵+海边 落地窗 浪漫大床房进厦大,183,近将军祠地铁站,1069,5.0,2
【带投影】步行至曾厝垵美食街/环岛路海边/近厦门大学/胡里山炮台/植物园/现代简约大双床,779,None,14,5.0,4
RK曾厝垵近厦大大床 步行海边5分钟。免费代购鼓浪屿往返船票,171,近将军祠地铁站,2726,5.0,2
曾厝垵-近厦门大学-鼓浪屿 @网红设计房,181,近将军祠地铁站,1995,5.0,2
会展近曾厝垵厦大海边可做饭带厨房家庭房,123,近黄厝,58,4.9,4
【厦门情侣口碑榜前三名】  ins风 栖聚 手机投影 位于曾厝垵近海边、环岛路、厦大等热门景点,238,None,81,4.9,2
【民宿推荐】1分钟到海边+格调大床房，赠送旅拍，近厦大南普陀植物园鼓浪屿等景点,220,近将军祠地铁站,262,4.9,2
厦门北站【归去来】简欧风民宿北站接送,142,近厦门北站地铁站,1442,4.9,2
近鼓浪屿中山路大落地窗【情侣大床D】免费停车做饭【海边带院子民宿】【连住优惠】超大公区/网红出片,147,近镇海路地铁站,240,4.9,2
曾厝垵海边丨闹中取静每日消毒-1.8m小清新ins风大床，近环岛路、中山路、鼓浪屿,196,近将军祠地铁站,1204,4.9,2
【带投影】步行至曾厝垵美食街/环岛路海边/近厦门大学/胡里山炮台/植物园/现代简约大床房,180,None,49,5.0,2
海边步行3分钟到•近曾厝垵•会展•环岛路•简约风双床,102,近黄厝,302,4.9,4
1分钟到海边+免费升级，曾厝垵内，赠送旅拍，近厦大南普陀植物园鼓浪屿等景点,208,近将军祠地铁站,397,4.9,2
【带投影】步行至曾厝垵美食街/环岛路海边/近厦门大学/胡里山炮台/植物园/现代简约大双床,779,None,14,5.0,4
【温馨大床房】【可煮饭】曾厝垵内｜近环岛路｜厦门大学｜鼓浪屿等【安静】,225,近将军祠地铁站,405,4.9,2
曾厝垵 .1分钟到海边.落地窗.网红大床房.近厦大.鼓浪屿（赠鼓浪屿船票）,191,近将军祠地铁站,2614,5.0,2
空中花园雅致家庭房可做饭,187,近莲坂地铁站,1027,5.0,4
「K1」临海雅致双床房/步行5分钟到海边/可做饭/赠游玩攻略近曾厝垵厦大,232,近黄厝,1102,5.0,4
全景落地窗 北欧ins风 高人气 双人房  厦大 曾厝垵 环岛路 步行海边民宿 安全消毒,131,近将军祠地铁站,1098,5.0,2
鼓浪屿海边/近小吃街/日光岩/特惠大床房/节假日绿色通道/赠手绘地图,294,近镇海路地铁站,558,5.0,2
映巷 环岛路曾厝垵厦门大学海边设计大床+可帮预约接送机 观光车公交车站接送,239,近将军祠地铁站,3179,5.0,2
曾厝垵民宿-曾厝垵网红民宿,141,近将军祠地铁站,583,4.9,2
曾厝垵+海边 落地窗 浪漫大床房进厦大,183,近将军祠地铁站,1069,5.0,2
曾厝垵-近厦门大学-鼓浪屿 @网红设计房,181,近将军祠地铁站,1995,5.0,2
免费停车位黄厝.海边沙滩温馨亲子房 、位于环岛路 .近会展 曾厝垵 .厦大. 中山路. 鼓浪屿附近,96,近黄厝,1016,5.0,3
【带投影】步行至曾厝垵美食街/环岛路海边/近厦门大学/胡里山炮台/植物园/现代简约大床房,180,None,49,5.0,2
环岛路近曾厝垵厦二居4床房,187,近黄厝,173,5.0,6
【栖宿】特惠大床房丨1.5大床丨24小时免费接送机,126,None,55,4.9,2
【带投影】步行至曾厝垵美食街/环岛路海边/近厦门大学/胡里山炮台/植物园/现代简约大双床,779,None,14,5.0,4
整栋别墅，超大园景酒吧，近海，豪华大床房,229,近镇海路地铁站,41,4.9,2
【民宿推荐】1分钟到海边+格调大床房，赠送旅拍，近厦大南普陀植物园鼓浪屿等景点,220,近将军祠地铁站,262,4.9,2
鼓浪屿老别墅，清新大床房，配管家服务，旅途讲解，步行300米即沙滩，超美院子，提前联系讲解如何上岛,320,近镇海路地铁站,649,4.9,2
 环岛路会展中心近曾厝垵 海景花园四人间,156,近黄厝,153,4.9,4
隐海- 设计师ins大床房 高人气海边民宿+预约接机,255,近将军祠地铁站,2987,5.0,2
【黎墅】tt米影视浴缸近华大理工机场,171,近天水路地铁站,70,4.7,2
【新宿·四人间】实拍图·环岛路·近海边·近会展,122,None,3,5.0,4
楼顶可以看海｜五分钟到海边｜大庭院有投影｜曾厝垵美食街内雅居大床房｜近厦大鼓浪屿帮订鼓浪屿船票,159,近将军祠地铁站,671,5.0,2
精致大床，出门100米即海边栈道，小吃街5分钟，鼓浪屿老别墅，楼顶露台看海,199,近镇海路地铁站,437,5.0,2
环岛路海边，独栋别墅、步行3分钟即沙滩，私人管家服务、可提供厨房、近厦大鼓浪屿中山路、观景投影大床房,183,None,5,5.0,2
环岛路海滨浴场近曾厝垵鼓浪屿两室套房,153,None,6,4.3,4
【带投影】步行至曾厝垵美食街/环岛路海边/近厦门大学/胡里山炮台/植物园/现代简约大床房,180,None,49,5.0,2
环岛路黄厝海边民宿轻奢4人大标间双床房,166,近黄厝,425,5.0,4
空中花园别致大床房近沙滩,125,近莲坂地铁站,675,5.0,2
【带投影】步行至曾厝垵美食街/环岛路海边/近厦门大学/胡里山炮台/植物园/现代简约大双床,779,None,14,5.0,4
"『岛屿』 阳台家庭房，临海别墅近曾厝垵,会展中心。可做饭，可烧烤。",292,近黄厝,211,5.0,4
海边双床《接机接站》近曾厝垵.中山路.鼓浪屿,155,近黄厝,980,5.0,2
厦门维斯度假酒店(SM城市广场高崎国际机场店)SM城市广场地区小复式大床房,217,近塘边地铁站,905,4.8,2
曾厝垵．厦大．海边．鼓浪屿浪漫大床,127,近将军祠地铁站,1993,5.0,2
